D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-12,DEHB-12_sd,DEHB-18,DEHB-18_sd,DEHB-24,DEHB-24_sd,DEHB-50,DEHB-50_sd,DEHB-100,DEHB-100_sd,DEHB-200,DEHB-200_sd,NSGAIII-6,NSGAIII-6_sd,NSGAIII-12,NSGAIII-12_sd,NSGAIII-18,NSGAIII-18_sd,NSGAIII-24,NSGAIII-24_sd,NSGAIII-50,NSGAIII-50_sd,NSGAIII-100,NSGAIII-100_sd,NSGAIII-200,NSGAIII-200_sd,SMAC-6,SMAC-6_sd,SMAC-12,SMAC-12_sd,SMAC-18,SMAC-18_sd,SMAC-24,SMAC-24_sd,SMAC-50,SMAC-50_sd,SMAC-100,SMAC-100_sd,SMAC-200,SMAC-200_sd,TPE-6,TPE-6_sd,TPE-12,TPE-12_sd,TPE-18,TPE-18_sd,TPE-24,TPE-24_sd,TPE-50,TPE-50_sd,TPE-100,TPE-100_sd,TPE-200,TPE-200_sd,ACT-6,ACT-6_sd,ACT-12,ACT-12_sd,ACT-18,ACT-18_sd,ACT-24,ACT-24_sd,ACT-50,ACT-50_sd,ACT-100,ACT-100_sd,ACT-200,ACT-200_sd,EZR-6,EZR-6_sd,EZR-12,EZR-12_sd,EZR-18,EZR-18_sd,EZR-24,EZR-24_sd,EZR-50,EZR-50_sd,EZR-100,EZR-100_sd,EZR-200,EZR-200_sd,KM++-6,KM++-6_sd,RAND-6,RAND-6_sd,KM++-12,KM++-12_sd,RAND-12,RAND-12_sd,KM++-18,KM++-18_sd,RAND-18,RAND-18_sd,KM++-24,KM++-24_sd,RAND-24,RAND-24_sd,KM++-50,KM++-50_sd,RAND-50,RAND-50_sd,KM++-100,KM++-100_sd,RAND-100,RAND-100_sd,KM++-200,KM++-200_sd,RAND-200,RAND-200_sd,Before,Before_sd, File
95, 259, 4, 2, 71, 23, 18, 25, 51 c, 16, 48 c, 15, 44 c, 13, 42 b, 12, 30 a, 10, 23 a, 0, 23 a, 0, 46 c, 13, 41 b, 10, 36 b, 9, 35 b, 9, 30 a, 8, 25 a, 5, 23 a, 0, 46 c, 12, 33 b, 11, 26 a, 7, 23 a, 3, 23 a, 0, 23 a, 0, 23 a, 0, 46 c, 13, 39 b, 10, 33 b, 10, 33 b, 10, 27 a, 8, 25 a, 6, 23 a, 0, 40 b, 11, 27 a, 6, 25 a, 5, 24 a, 5, 24 a, 5, 24 a, 5, 23 a, 0, 49 c, 9, 38 b, 12, 36 b, 10, 36 b, 7, 27 a, 8, 23 a, 2, 23 a, 0, 44 c, 16, 45 c, 15, 40 b, 13, 39 b, 11, 36 b, 11, 39 b, 10, 31 b, 8, 36 b, 8, 29 a, 7, 30 a, 7, 25 a, 4, 25 a, 5, 23 a, 0, 23 a, 0, 71 d, 18, SS-H.csv
90, 196, 3, 2, 55, 32, 10, 34, 43 b, 4, 42 b, 4, 40 b, 4, 38 b, 3, 36 a, 2, 34 a, 2, 33 a, 2, 44 c, 8, 40 b, 5, 38 b, 4, 36 a, 3, 35 a, 2, 34 a, 2, 32 a, 2, 41 b, 6, 40 b, 5, 38 b, 5, 35 a, 4, 33 a, 2, 32 a, 1, 32 a, 0, 44 c, 8, 40 b, 5, 38 b, 4, 37 a, 3, 35 a, 3, 34 a, 2, 34 a, 2, 45 c, 5, 40 b, 1, 39 b, 3, 36 a, 4, 33 a, 3, 32 a, 1, 32 a, 0, 46 c, 4, 43 b, 6, 42 b, 4, 41 b, 4, 36 a, 5, 32 a, 1, 32 a, 0, 40 b, 6, 41 b, 6, 40 b, 5, 39 b, 4, 36 a, 4, 39 b, 5, 36 a, 4, 36 a, 4, 32 a, 1, 35 a, 2, 32 a, 0, 33 a, 2, 32 a, 0, 32 a, 0, 55 d, 10, SS-D.csv
90, 350, 20, 1, 36, 0, 20, 4, 19 b, 15, 15 b, 13, 11 b, 11, 9 a, 11, 4 a, 8, 1 a, 4, 1 a, 3, 22 c, 12, 13 b, 7, 9 a, 8, 7 a, 6, 2 a, 4, 0 a, 0, 0 a, 0, 19 b, 11, 6 a, 9, 5 a, 7, 4 a, 6, 1 a, 2, 0 a, 0, 0 a, 0, 22 c, 12, 12 b, 5, 7 a, 6, 4 a, 5, 2 a, 4, 1 a, 2, 0 a, 0, 13 b, 7, 10 a, 6, 9 a, 5, 7 a, 6, 5 a, 6, 5 a, 6, 1 a, 2, 10 a, 8, 5 a, 6, 3 a, 5, 2 a, 4, 0 a, 0, 0 a, 0, 0 a, 0, 11 b, 5, 16 b, 11, 9 a, 6, 10 a, 7, 6 a, 6, 8 a, 7, 5 a, 6, 7 a, 5, 3 a, 5, 4 a, 6, 1 a, 2, 1 a, 3, 0 a, 0, 0 a, 0, 36 d, 20, socks.csv
92, 192, 9, 1, 33, 0, 27, 3, 6 a, 4, 6 a, 3, 5 a, 3, 4 a, 3, 2 a, 2, 1 a, 1, 0 a, 0, 8 a, 5, 6 a, 4, 4 a, 3, 3 a, 3, 2 a, 1, 1 a, 1, 0 a, 0, 6 a, 5, 3 a, 4, 2 a, 2, 2 a, 2, 0 a, 1, 0 a, 1, 0 a, 0, 8 a, 5, 6 a, 4, 5 a, 4, 4 a, 4, 2 a, 2, 1 a, 1, 1 a, 1, 6 a, 5, 2 a, 2, 1 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 7 a, 5, 3 a, 3, 2 a, 2, 1 a, 1, 0 a, 1, 0 a, 1, 0 a, 0, 9 a, 6, 8 a, 5, 5 a, 4, 5 a, 3, 3 a, 2, 4 a, 3, 2 a, 3, 2 a, 1, 1 a, 1, 2 a, 2, 0 a, 1, 1 a, 1, 0 a, 0, 0 a, 1, 33 b, 27, Apache_AllMeasurements.csv
93, 206, 3, 2, 56, 0, 19, 4, 37 c, 13, 34 c, 11, 30 c, 10, 25 c, 8, 21 b, 9, 10 a, 9, 3 a, 6, 35 c, 11, 30 c, 9, 25 c, 7, 24 c, 7, 20 b, 8, 13 b, 9, 4 a, 4, 33 c, 12, 26 c, 12, 13 b, 9, 13 b, 13, 2 a, 5, 0 a, 0, 0 a, 0, 35 c, 11, 28 c, 9, 23 b, 10, 21 b, 10, 16 b, 9, 9 a, 9, 4 a, 6, 27 c, 13, 13 b, 15, 6 a, 10, 5 a, 10, 5 a, 10, 2 a, 5, 0 a, 0, 30 c, 12, 15 b, 10, 7 a, 8, 5 a, 8, 0 a, 0, 0 a, 0, 0 a, 0, 32 c, 10, 33 c, 13, 22 b, 11, 20 b, 13, 21 b, 8, 18 b, 10, 15 b, 9, 15 b, 11, 12 b, 9, 12 b, 8, 8 a, 7, 8 a, 6, 0 a, 1, 3 a, 3, 56 d, 19, SS-B.csv
97, 247, 22, 2, 84, 46, 10, 47, 89 g, 11, 80 f, 6, 80 f, 9, 84 g, 10, 89 h, 17, 91 h, 7, 78 e, 3, 78 e, 5, 63 c, 13, 75 e, 3, 69 d, 11, 64 c, 12, 48 a, 5, 47 a, 6, 70 d, 8, 74 e, 8, 73 e, 8, 66 d, 13, 60 c, 13, 59 c, 12, 51 b, 9, 76 e, 8, 53 b, 12, 66 d, 13, 59 c, 13, 48 a, 6, 47 a, 6, 71 d, 3, 79 e, 4, 76 e, 9, 69 d, 13, 62 c, 12, 51 b, 9, 47 a, 3, 46 a, 0, 78 e, 11, 68 d, 13, 66 d, 11, 61 c, 14, 53 b, 9, 46 a, 0, 46 a, 0, 71 d, 8, 74 e, 4, 68 d, 12, 71 d, 7, 68 d, 9, 65 d, 11, 65 c, 11, 60 c, 12, 63 c, 12, 58 c, 12, 56 c, 10, 54 b, 10, 48 a, 5, 49 a, 7, 84 g, 10, wallpaper.csv
96, 196, 3, 1, 27, 0, 20, 1, 5 a, 8, 3 a, 6, 2 a, 4, 1 a, 4, 0 a, 0, 0 a, 0, 0 a, 0, 3 a, 6, 1 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 8 b, 9, 2 a, 4, 0 a, 0, 0 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 3 a, 6, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 10 b, 11, 1 a, 1, 1 a, 0, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 6 a, 8, 2 a, 2, 2 a, 6, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 8 b, 8, 6 a, 8, 3 a, 4, 2 a, 2, 1 a, 2, 1 a, 2, 1 a, 2, 1 a, 4, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 27 c, 20, wc+rs-3d-c4-obj1.csv
97, 196, 3, 1, 26, 0, 19, 1, 5 a, 9, 2 a, 5, 1 a, 4, 1 a, 4, 0 a, 2, 0 a, 0, 0 a, 0, 3 a, 6, 1 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 8 b, 9, 1 a, 2, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 3 a, 6, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 9 b, 11, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 5 a, 6, 2 a, 4, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 8 b, 9, 6 a, 8, 2 a, 3, 1 a, 2, 1 a, 2, 1 a, 1, 1 a, 1, 1 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 26 c, 19, wc+sol-3d-c4-obj1.csv
90, 398, 4, 3, 56, 17, 16, 21, 38 c, 10, 35 b, 8, 34 b, 8, 34 b, 7, 29 b, 7, 24 a, 9, 19 a, 5, 37 c, 5, 34 b, 5, 32 b, 5, 31 b, 4, 27 b, 6, 22 a, 7, 18 a, 4, 35 b, 8, 31 b, 8, 30 b, 7, 25 a, 7, 22 a, 7, 19 a, 5, 19 a, 5, 37 c, 5, 35 b, 5, 30 b, 5, 26 b, 6, 23 a, 7, 21 a, 5, 19 a, 5, 37 c, 8, 24 a, 8, 22 a, 6, 21 a, 5, 18 a, 3, 17 a, 1, 17 a, 0, 32 b, 8, 29 b, 6, 26 b, 6, 24 a, 5, 21 a, 5, 18 a, 2, 17 a, 0, 37 c, 8, 37 c, 7, 29 b, 8, 32 b, 7, 29 b, 8, 29 b, 7, 27 b, 7, 29 b, 5, 23 a, 6, 25 a, 6, 20 a, 4, 21 a, 4, 18 a, 3, 18 a, 2, 56 d, 16, auto93.csv
87, 81, 26, 1, 38, 0, 20, 5, 15 b, 8, 14 b, 8, 11 a, 9, 9 a, 9, 6 a, 7, 3 a, 4, 1 a, 3, 17 b, 6, 14 b, 6, 11 a, 7, 11 a, 7, 4 a, 6, 1 a, 3, 0 a, 2, 20 b, 11, 14 b, 7, 10 a, 6, 7 a, 6, 3 a, 5, 2 a, 4, 1 a, 3, 17 b, 6, 14 b, 6, 9 a, 7, 8 a, 6, 3 a, 4, 2 a, 4, 0 a, 1, 14 b, 8, 11 a, 5, 9 a, 4, 8 a, 4, 1 a, 3, 0 a, 0, 0 a, 0, 17 b, 9, 10 a, 4, 9 a, 3, 7 a, 4, 3 a, 3, 0 a, 0, 0 a, 0, 11 a, 6, 15 b, 10, 9 a, 6, 9 a, 6, 7 a, 6, 7 a, 5, 6 a, 5, 5 a, 4, 3 a, 4, 3 a, 4, 2 a, 3, 3 a, 3, 2 a, 3, 1 a, 2, 38 c, 20, player_statistics_cleaned_final.csv
91, 196, 3, 2, 57, 33, 10, 36, 44 b, 5, 42 b, 4, 42 b, 4, 40 b, 3, 37 a, 3, 34 a, 1, 33 a, 0, 46 c, 8, 42 b, 6, 40 b, 4, 39 a, 3, 37 a, 3, 35 a, 2, 34 a, 1, 44 b, 6, 41 b, 6, 40 b, 4, 38 a, 4, 35 a, 3, 33 a, 0, 33 a, 0, 46 c, 8, 42 b, 5, 39 a, 4, 38 a, 4, 36 a, 2, 34 a, 2, 34 a, 1, 45 b, 5, 43 b, 3, 43 b, 3, 43 b, 3, 40 b, 3, 35 a, 3, 33 a, 0, 45 b, 5, 44 b, 5, 42 b, 5, 41 b, 5, 38 a, 4, 34 a, 2, 33 a, 0, 44 b, 4, 44 b, 7, 42 b, 4, 41 b, 5, 41 b, 4, 40 b, 4, 40 b, 3, 39 a, 4, 38 a, 3, 37 a, 3, 36 a, 2, 35 a, 2, 33 a, 0, 34 a, 1, 57 d, 10, SS-G.csv
96, 196, 3, 1, 27, 0, 18, 1, 6 a, 9, 3 a, 6, 2 a, 5, 2 a, 5, 1 a, 1, 0 a, 0, 0 a, 0, 4 a, 6, 1 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 9 b, 9, 2 a, 2, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 6, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 10 b, 11, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 6 a, 9, 1 a, 2, 2 a, 5, 1 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 10 b, 10, 7 b, 9, 4 a, 6, 2 a, 2, 1 a, 2, 2 a, 4, 1 a, 2, 2 a, 4, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 27 c, 18, wc+wc-3d-c4-obj1.csv
96, 1152, 16, 1, 38, 0, 28, 2, 6 a, 6, 4 a, 7, 3 a, 5, 1 a, 1, 1 a, 1, 0 a, 1, 0 a, 0, 4 a, 3, 3 a, 2, 2 a, 2, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 4 a, 2, 3 a, 2, 2 a, 2, 1 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 4 a, 3, 2 a, 2, 2 a, 2, 2 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 4 a, 4, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 3, 3 a, 5, 1 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 5 a, 5, 5 a, 6, 3 a, 3, 2 a, 2, 2 a, 2, 2 a, 2, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 38 b, 28, X264_AllMeasurements.csv
84, 223, 10, 3, 62, 30, 12, 35, 48 c, 4, 45 b, 5, 44 b, 6, 42 b, 5, 38 a, 5, 37 a, 5, 35 a, 4, 47 c, 6, 41 b, 7, 39 a, 7, 38 a, 6, 35 a, 5, 34 a, 5, 33 a, 4, 46 c, 7, 42 b, 6, 42 b, 6, 41 b, 6, 38 a, 4, 36 a, 5, 34 a, 5, 47 c, 6, 41 b, 7, 39 a, 6, 39 a, 6, 36 a, 5, 33 a, 4, 33 a, 4, 48 c, 6, 42 b, 2, 41 b, 3, 40 b, 4, 33 a, 5, 30 a, 2, 30 a, 0, 48 c, 7, 43 b, 8, 40 b, 7, 42 b, 4, 37 a, 6, 32 a, 4, 30 a, 0, 47 c, 8, 48 c, 6, 45 b, 3, 46 b, 4, 41 b, 5, 41 b, 4, 41 b, 5, 42 b, 4, 37 a, 5, 38 a, 5, 35 a, 4, 37 a, 4, 31 a, 3, 33 a, 4, 62 d, 12, A2C_Acrobot.csv
95, 1023, 11, 2, 63, 16, 17, 18, 38 c, 17, 34 c, 16, 29 b, 13, 25 b, 11, 17 a, 1, 16 a, 1, 16 a, 0, 35 c, 18, 30 b, 14, 27 b, 13, 22 a, 8, 19 a, 2, 17 a, 2, 16 a, 0, 31 b, 13, 27 b, 12, 20 a, 6, 18 a, 5, 16 a, 1, 16 a, 0, 16 a, 0, 35 c, 18, 27 b, 13, 27 b, 12, 25 b, 11, 21 a, 7, 18 a, 4, 17 a, 1, 38 c, 14, 28 b, 13, 20 a, 8, 19 a, 7, 16 a, 1, 16 a, 0, 16 a, 0, 34 c, 17, 30 b, 12, 21 a, 8, 20 a, 4, 17 a, 1, 17 a, 1, 16 a, 1, 44 d, 17, 36 c, 15, 29 b, 11, 27 b, 12, 23 a, 9, 27 b, 10, 21 a, 7, 22 a, 7, 19 a, 4, 19 a, 5, 17 a, 2, 17 a, 1, 17 a, 1, 17 a, 1, 63 e, 17, SS-P.csv
98, 864, 18, 1, 28, 0, 38, 0, 1 a, 1, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 2, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 0 a, 0, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 1, 0 a, 1, 0 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 1 a, 1, 0 a, 0, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 2 a, 2, 1 a, 2, 1 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 28 b, 38, HSQLDB.csv
95, 93, 22, 3, 54, 39, 5, 39, 52 d, 5, 54 e, 6, 44 b, 3, 61 g, 5, 52 d, 2, 56 f, 0, 59 f, 8, 45 b, 6, 43 b, 4, 44 b, 2, 39 a, 0, 52 d, 0, 39 a, 0, 40 a, 2, 52 d, 6, 44 b, 3, 43 b, 2, 57 f, 0, 53 e, 5, 39 a, 1, 39 a, 1, 57 f, 0, 43 b, 2, 50 d, 6, 43 b, 2, 42 b, 3, 43 b, 2, 43 b, 0, 54 e, 3, 50 d, 5, 47 c, 5, 44 b, 6, 40 a, 3, 39 a, 0, 39 a, 0, 53 d, 3, 52 d, 5, 47 c, 5, 45 b, 4, 41 a, 3, 39 a, 1, 39 a, 1, 47 c, 5, 47 c, 4, 44 b, 3, 45 b, 5, 41 a, 2, 44 b, 2, 41 a, 2, 44 b, 4, 39 a, 0, 41 a, 2, 39 a, 0, 40 a, 2, 39 a, 0, 39 a, 1, 54 e, 5, nasa93dem.csv
92, 1024, 10, 1, 53, 0, 25, 4, 22 b, 11, 20 b, 9, 11 a, 10, 9 a, 10, 2 a, 2, 1 a, 1, 0 a, 0, 26 b, 13, 17 b, 13, 10 a, 8, 8 a, 6, 4 a, 2, 3 a, 2, 1 a, 1, 25 b, 17, 14 b, 11, 11 a, 8, 5 a, 6, 2 a, 1, 1 a, 1, 0 a, 0, 26 b, 13, 14 b, 8, 12 a, 9, 12 a, 8, 6 a, 6, 3 a, 5, 2 a, 4, 14 b, 12, 5 a, 5, 3 a, 4, 2 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 18 b, 13, 10 a, 9, 4 a, 4, 4 a, 3, 3 a, 2, 2 a, 2, 1 a, 1, 19 b, 13, 25 b, 16, 14 b, 8, 13 b, 11, 8 a, 7, 10 a, 8, 8 a, 6, 9 a, 7, 3 a, 3, 3 a, 2, 2 a, 2, 2 a, 1, 1 a, 1, 2 a, 2, 53 c, 25, LLVM.csv
92, 196, 3, 2, 56, 35, 10, 36, 44 b, 4, 43 b, 5, 42 b, 5, 40 b, 3, 38 a, 2, 35 a, 1, 35 a, 0, 46 c, 7, 42 b, 5, 40 b, 4, 40 a, 3, 37 a, 2, 36 a, 2, 35 a, 1, 44 b, 6, 43 b, 5, 41 b, 4, 39 a, 4, 36 a, 1, 35 a, 0, 35 a, 0, 46 c, 7, 41 b, 5, 39 a, 4, 38 a, 3, 36 a, 2, 35 a, 1, 35 a, 0, 46 c, 5, 44 b, 4, 44 b, 3, 43 b, 3, 41 b, 3, 35 a, 1, 35 a, 0, 46 c, 4, 43 b, 5, 44 b, 5, 42 b, 4, 39 a, 4, 36 a, 2, 35 a, 0, 45 b, 3, 44 b, 6, 43 b, 4, 41 b, 4, 41 b, 4, 41 b, 4, 41 b, 3, 39 a, 4, 38 a, 3, 38 a, 3, 37 a, 2, 36 a, 1, 35 a, 0, 35 a, 1, 56 d, 10, SS-F.csv
82, 972, 11, 2, 39, 12, 13, 17, 30 c, 6, 28 b, 5, 27 b, 5, 26 b, 5, 21 a, 4, 18 a, 4, 17 a, 3, 27 b, 4, 26 b, 4, 24 b, 4, 23 b, 4, 20 a, 3, 18 a, 3, 15 a, 2, 27 b, 6, 26 b, 5, 22 b, 5, 21 a, 4, 18 a, 4, 16 a, 3, 14 a, 1, 27 b, 4, 25 b, 5, 23 b, 5, 23 b, 4, 20 a, 3, 17 a, 4, 17 a, 4, 24 b, 7, 20 a, 6, 19 a, 6, 17 a, 5, 14 a, 4, 13 a, 3, 13 a, 2, 25 b, 6, 20 a, 4, 20 a, 5, 17 a, 3, 16 a, 2, 13 a, 1, 12 a, 0, 25 b, 6, 27 b, 6, 22 b, 5, 22 b, 5, 20 a, 5, 20 a, 5, 18 a, 3, 19 a, 3, 16 a, 4, 17 a, 3, 14 a, 2, 15 a, 2, 13 a, 1, 14 a, 2, 39 d, 13, SS-O.csv
