D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-12,DEHB-12_sd,DEHB-18,DEHB-18_sd,DEHB-24,DEHB-24_sd,DEHB-50,DEHB-50_sd,DEHB-100,DEHB-100_sd,DEHB-200,DEHB-200_sd,NSGAIII-6,NSGAIII-6_sd,NSGAIII-12,NSGAIII-12_sd,NSGAIII-18,NSGAIII-18_sd,NSGAIII-24,NSGAIII-24_sd,NSGAIII-50,NSGAIII-50_sd,NSGAIII-100,NSGAIII-100_sd,NSGAIII-200,NSGAIII-200_sd,SMAC-6,SMAC-6_sd,SMAC-12,SMAC-12_sd,SMAC-18,SMAC-18_sd,SMAC-24,SMAC-24_sd,SMAC-50,SMAC-50_sd,SMAC-100,SMAC-100_sd,SMAC-200,SMAC-200_sd,TPE-6,TPE-6_sd,TPE-12,TPE-12_sd,TPE-18,TPE-18_sd,TPE-24,TPE-24_sd,TPE-50,TPE-50_sd,TPE-100,TPE-100_sd,TPE-200,TPE-200_sd,ACT-6,ACT-6_sd,ACT-12,ACT-12_sd,ACT-18,ACT-18_sd,ACT-24,ACT-24_sd,ACT-50,ACT-50_sd,ACT-100,ACT-100_sd,ACT-200,ACT-200_sd,EZR-6,EZR-6_sd,EZR-12,EZR-12_sd,EZR-18,EZR-18_sd,EZR-24,EZR-24_sd,EZR-50,EZR-50_sd,EZR-100,EZR-100_sd,EZR-200,EZR-200_sd,KM++-6,KM++-6_sd,RAND-6,RAND-6_sd,KM++-12,KM++-12_sd,RAND-12,RAND-12_sd,KM++-18,KM++-18_sd,RAND-18,RAND-18_sd,KM++-24,KM++-24_sd,RAND-24,RAND-24_sd,KM++-50,KM++-50_sd,RAND-50,RAND-50_sd,KM++-100,KM++-100_sd,RAND-100,RAND-100_sd,KM++-200,KM++-200_sd,RAND-200,RAND-200_sd,Before,Before_sd, File
95, 1023, 11, 2, 63, 16, 17, 18, 38 c, 17, 34 c, 16, 29 b, 13, 25 b, 11, 17 a, 1, 16 a, 1, 16 a, 0, 35 c, 18, 30 b, 14, 27 b, 13, 22 a, 8, 19 a, 2, 17 a, 2, 16 a, 0, 31 b, 13, 27 b, 12, 20 a, 6, 18 a, 5, 16 a, 1, 16 a, 0, 16 a, 0, 35 c, 18, 27 b, 13, 27 b, 12, 25 b, 11, 21 a, 7, 18 a, 4, 17 a, 1, 35 c, 16, 27 b, 12, 20 a, 7, 20 a, 6, 18 a, 4, 16 a, 1, 16 a, 1, 36 c, 17, 31 b, 15, 25 b, 15, 19 a, 7, 16 a, 1, 16 a, 0, 16 a, 0, 43 d, 13, 36 c, 15, 34 c, 12, 27 b, 12, 23 a, 8, 27 b, 10, 24 b, 10, 22 a, 7, 18 a, 2, 19 a, 5, 17 a, 1, 17 a, 1, 16 a, 1, 17 a, 1, 63 e, 17, SS-L.csv
83, 1343, 3, 2, 25, 0, 19, 4, 9 a, 4, 13 b, 17, 9 a, 13, 8 a, 13, 3 a, 2, 2 a, 2, 0 a, 1, 10 a, 4, 8 a, 3, 7 a, 3, 6 a, 3, 4 a, 2, 3 a, 2, 1 a, 1, 11 b, 5, 6 a, 3, 4 a, 2, 2 a, 2, 1 a, 1, 0 a, 0, 0 a, 0, 10 a, 4, 8 a, 4, 6 a, 2, 6 a, 2, 4 a, 2, 2 a, 1, 1 a, 1, 9 a, 4, 5 a, 3, 3 a, 2, 3 a, 2, 1 a, 1, 1 a, 1, 0 a, 0, 8 a, 3, 5 a, 3, 4 a, 2, 4 a, 2, 1 a, 1, 0 a, 1, 0 a, 0, 10 a, 4, 11 a, 6, 6 a, 3, 6 a, 3, 5 a, 2, 6 a, 2, 5 a, 2, 5 a, 2, 4 a, 1, 4 a, 2, 3 a, 2, 3 a, 2, 2 a, 1, 2 a, 2, 25 c, 19, SS-A.csv
97, 864, 17, 3, 31, 0, 35, 1, 3 a, 3, 2 a, 2, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 3 a, 4, 1 a, 0, 1 a, 0, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 4, 2 a, 3, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 3 a, 4, 1 a, 0, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 3, 1 a, 2, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 4, 2 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 3 a, 4, 4 a, 5, 2 a, 3, 3 a, 3, 2 a, 3, 1 a, 0, 1 a, 0, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 31 b, 35, SS-M.csv
97, 649, 33, 1, 85, 0, 36, 3, 70 d, 47, 20 a, 41, 40 b, 50, 75 d, 44, 15 a, 37, 50 c, 51, 0 a, 0, 30 b, 47, 15 a, 37, 10 a, 31, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 15 a, 37, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 30 b, 47, 0 a, 0, 5 a, 22, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 25 b, 44, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 25 b, 44, 30 b, 47, 5 a, 22, 10 a, 31, 0 a, 0, 0 a, 0, 0 a, 0, 50 c, 51, 30 b, 47, 15 a, 37, 0 a, 0, 5 a, 22, 5 a, 22, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 85 d, 36, student_dropout.csv
81, 1000, 20, 5, 46, 13, 11, 19, 29 b, 7, 26 b, 5, 25 b, 4, 24 b, 4, 22 a, 3, 19 a, 3, 18 a, 2, 34 c, 5, 28 b, 6, 26 b, 4, 24 b, 4, 21 a, 3, 19 a, 2, 18 a, 3, 29 b, 9, 25 b, 6, 23 b, 3, 22 a, 5, 21 a, 5, 19 a, 3, 17 a, 3, 34 c, 5, 29 b, 6, 26 b, 6, 25 b, 5, 21 a, 4, 20 a, 5, 18 a, 4, 38 d, 6, 31 c, 9, 23 a, 6, 21 a, 5, 19 a, 4, 18 a, 3, 16 a, 2, 31 c, 10, 32 c, 9, 26 b, 7, 26 b, 7, 20 a, 5, 17 a, 4, 16 a, 2, 31 c, 8, 32 c, 8, 26 b, 7, 23 b, 5, 25 b, 6, 25 b, 6, 21 a, 4, 21 a, 5, 21 a, 4, 20 a, 3, 18 a, 2, 18 a, 3, 17 a, 2, 17 a, 3, 46 e, 11, coc1000.csv
79, 1599, 10, 2, 42, 15, 9, 21, 36 d, 6, 35 c, 6, 31 c, 6, 30 b, 5, 28 b, 4, 25 b, 4, 23 a, 5, 34 c, 5, 29 b, 4, 28 b, 3, 28 b, 4, 27 b, 3, 25 b, 4, 23 a, 4, 35 c, 4, 30 b, 5, 29 b, 5, 27 b, 5, 26 b, 4, 25 b, 5, 23 a, 4, 34 c, 5, 31 c, 4, 29 b, 2, 29 b, 3, 27 b, 3, 25 b, 4, 22 a, 3, 31 c, 6, 29 b, 3, 28 b, 3, 28 b, 3, 25 b, 5, 22 a, 5, 20 a, 4, 33 c, 6, 28 b, 6, 28 b, 4, 25 b, 6, 23 a, 6, 20 a, 5, 17 a, 2, 31 c, 6, 31 c, 3, 30 b, 4, 29 b, 5, 28 b, 3, 29 b, 3, 28 b, 4, 26 b, 4, 25 b, 4, 23 a, 5, 19 a, 3, 22 a, 3, 18 a, 3, 20 a, 3, 42 e, 9, Wine_quality.csv
93, 2866, 6, 1, 23, 0, 20, 2, 5 a, 6, 3 a, 1, 2 a, 1, 2 a, 0, 2 a, 0, 1 a, 0, 1 a, 0, 3 a, 3, 2 a, 1, 2 a, 0, 2 a, 0, 2 a, 0, 1 a, 0, 1 a, 1, 4 a, 6, 2 a, 1, 2 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 3 a, 3, 2 a, 0, 2 a, 0, 2 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 3 a, 2, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 2 a, 1, 2 a, 1, 2 a, 1, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 3 a, 5, 3 a, 2, 2 a, 0, 2 a, 1, 1 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 23 b, 20, sol-6d-c2-obj1.csv
89, 2880, 6, 2, 52, 1, 16, 7, 29 c, 11, 27 c, 12, 23 c, 12, 21 b, 12, 13 b, 8, 8 a, 5, 5 a, 5, 27 c, 12, 21 b, 11, 18 b, 10, 17 b, 10, 11 a, 8, 9 a, 5, 6 a, 4, 27 c, 12, 20 b, 12, 15 b, 9, 13 b, 8, 7 a, 5, 3 a, 2, 2 a, 1, 27 c, 12, 21 b, 11, 16 b, 9, 15 b, 9, 8 a, 5, 6 a, 3, 5 a, 3, 32 c, 12, 20 b, 9, 15 b, 8, 12 a, 6, 8 a, 6, 7 a, 4, 4 a, 2, 33 c, 13, 30 c, 14, 32 c, 12, 17 b, 12, 12 a, 11, 6 a, 3, 3 a, 1, 26 c, 13, 32 c, 12, 23 c, 11, 25 c, 13, 18 b, 8, 18 b, 9, 16 b, 9, 13 b, 8, 9 a, 5, 12 a, 7, 6 a, 4, 7 a, 4, 5 a, 3, 5 a, 2, 52 d, 16, SS-K.csv
78, 1470, 32, 3, 79, 26, 16, 38, 52 b, 9, 52 b, 10, 41 a, 4, 43 a, 7, 42 a, 11, 36 a, 3, 36 a, 2, 51 b, 9, 47 b, 8, 42 a, 5, 40 a, 4, 38 a, 3, 36 a, 3, 35 a, 2, 55 c, 11, 41 a, 7, 42 a, 7, 42 a, 7, 36 a, 4, 37 a, 3, 36 a, 1, 50 b, 9, 45 b, 8, 42 a, 7, 38 a, 5, 36 a, 2, 36 a, 3, 36 a, 2, 56 c, 11, 52 b, 10, 50 b, 9, 47 b, 7, 41 a, 7, 37 a, 6, 34 a, 4, 51 b, 9, 47 b, 9, 42 a, 9, 41 a, 9, 36 a, 9, 29 a, 2, 28 a, 2, 54 b, 13, 56 c, 13, 49 b, 9, 48 b, 10, 45 b, 8, 49 b, 10, 40 a, 7, 40 a, 9, 39 a, 6, 40 a, 6, 34 a, 5, 36 a, 3, 33 a, 5, 33 a, 5, 79 d, 16, WA_Fn-UseC_-HR-Employee-Attrition.csv
100, 1557, 12, 1, 18, 0, 25, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 1, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 18 b, 25, storm.csv
94, 2880, 6, 1, 29, 0, 21, 2, 7 a, 10, 5 a, 8, 2 a, 3, 2 a, 3, 1 a, 2, 0 a, 1, 0 a, 1, 4 a, 6, 2 a, 3, 2 a, 2, 1 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 9 a, 8, 3 a, 3, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 6, 3 a, 3, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 7 a, 8, 3 a, 5, 2 a, 3, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 7 a, 5, 4 a, 5, 2 a, 2, 1 a, 1, 1 a, 2, 0 a, 0, 0 a, 0, 5 a, 6, 6 a, 7, 1 a, 2, 2 a, 3, 1 a, 1, 1 a, 2, 0 a, 1, 1 a, 2, 0 a, 0, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 29 b, 21, wc-6d-c1-obj1.csv
86, 1000, 124, 3, 51, 27, 9, 30, 42 c, 5, 41 c, 5, 38 b, 4, 37 b, 3, 33 a, 3, 30 a, 3, 28 a, 2, 40 c, 5, 39 b, 4, 38 b, 4, 37 b, 3, 33 a, 3, 31 a, 3, 28 a, 2, 42 c, 3, 37 b, 5, 35 b, 4, 33 a, 4, 31 a, 3, 29 a, 2, 29 a, 2, 40 c, 5, 37 b, 5, 35 b, 5, 35 b, 5, 32 a, 4, 31 a, 4, 30 a, 3, 40 c, 5, 33 a, 4, 31 a, 3, 30 a, 3, 29 a, 2, 28 a, 2, 27 a, 1, 39 b, 5, 37 b, 5, 33 a, 3, 34 b, 4, 31 a, 3, 30 a, 2, 29 a, 2, 39 c, 5, 40 c, 5, 36 b, 5, 38 b, 4, 36 b, 4, 36 b, 4, 34 b, 3, 35 b, 4, 32 a, 2, 34 b, 3, 31 a, 2, 31 a, 2, 30 a, 2, 30 a, 2, 51 d, 9, Scrum1k.csv
76, 3008, 14, 2, 41, 12, 15, 19, 22 a, 6, 22 a, 6, 20 a, 2, 19 a, 2, 18 a, 1, 17 a, 1, 16 a, 2, 23 a, 4, 21 a, 3, 20 a, 2, 19 a, 2, 18 a, 1, 17 a, 1, 17 a, 1, 22 a, 3, 21 a, 5, 20 a, 2, 19 a, 2, 18 a, 2, 16 a, 2, 16 a, 2, 23 a, 4, 21 a, 3, 20 a, 3, 19 a, 3, 18 a, 2, 17 a, 2, 17 a, 2, 24 a, 7, 23 a, 8, 20 a, 5, 20 a, 6, 17 a, 4, 15 a, 3, 13 a, 1, 25 b, 8, 22 a, 8, 20 a, 3, 19 a, 3, 17 a, 2, 16 a, 2, 16 a, 2, 21 a, 5, 21 a, 5, 20 a, 2, 20 a, 3, 19 a, 3, 19 a, 2, 19 a, 1, 18 a, 1, 18 a, 1, 18 a, 1, 17 a, 2, 17 a, 2, 15 a, 2, 15 a, 2, 41 c, 15, SS-R.csv
99, 2560, 16, 1, 20, 0, 30, 0, 1 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 20 b, 30, BDBC.csv
97, 3840, 6, 1, 28, 0, 27, 1, 4 a, 6, 3 a, 5, 2 a, 4, 1 a, 3, 1 a, 2, 0 a, 1, 0 a, 0, 2 a, 2, 1 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 5, 2 a, 2, 1 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 0 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 5, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 4 a, 5, 2 a, 4, 0 a, 0, 0 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 4 a, 5, 3 a, 4, 1 a, 1, 1 a, 2, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 28 b, 27, rs-6d-c3_obj1.csv
91, 3840, 6, 2, 52, 2, 21, 7, 29 c, 16, 24 b, 16, 21 b, 16, 16 b, 13, 11 a, 9, 7 a, 5, 5 a, 2, 24 b, 18, 15 b, 9, 13 a, 9, 10 a, 6, 7 a, 2, 6 a, 2, 5 a, 1, 25 b, 17, 17 b, 14, 8 a, 4, 8 a, 7, 4 a, 1, 4 a, 1, 3 a, 1, 24 b, 18, 13 a, 11, 10 a, 10, 8 a, 5, 6 a, 1, 5 a, 1, 4 a, 1, 38 d, 18, 14 a, 8, 12 a, 8, 7 a, 6, 5 a, 1, 4 a, 1, 4 a, 1, 34 c, 16, 29 c, 19, 19 b, 15, 20 b, 18, 5 a, 1, 3 a, 1, 3 a, 1, 21 b, 15, 24 b, 20, 9 a, 4, 16 b, 10, 10 a, 6, 13 a, 9, 8 a, 5, 9 a, 5, 5 a, 2, 6 a, 2, 5 a, 1, 6 a, 2, 4 a, 1, 5 a, 1, 52 e, 21, SS-J.csv
92, 2736, 13, 3, 41, 4, 21, 7, 19 b, 11, 16 b, 9, 11 a, 4, 10 a, 4, 8 a, 3, 5 a, 1, 5 a, 0, 16 b, 13, 10 a, 4, 9 a, 4, 7 a, 2, 6 a, 1, 5 a, 1, 5 a, 0, 14 a, 8, 10 a, 5, 10 a, 5, 7 a, 4, 5 a, 0, 5 a, 0, 5 a, 0, 16 b, 13, 12 a, 5, 10 a, 4, 9 a, 4, 6 a, 2, 5 a, 0, 5 a, 0, 15 b, 13, 8 a, 8, 7 a, 8, 7 a, 8, 5 a, 0, 5 a, 0, 4 a, 0, 12 a, 8, 7 a, 3, 7 a, 2, 6 a, 1, 5 a, 1, 5 a, 0, 5 a, 0, 14 a, 8, 15 b, 10, 9 a, 4, 9 a, 4, 7 a, 3, 8 a, 4, 7 a, 2, 7 a, 2, 6 a, 1, 6 a, 1, 5 a, 0, 5 a, 0, 5 a, 0, 5 a, 0, 41 c, 21, SS-Q.csv
100, 3840, 6, 1, 7, 0, 19, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 7 b, 19, rs-6d-c3_obj2.csv
95, 3456, 14, 1, 12, 0, 19, 1, 2 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 1, 1 a, 1, 1 a, 0, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 2 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 12 b, 19, HSMGP_num.csv
92, 3840, 6, 2, 24, 0, 20, 2, 7 a, 5, 5 a, 3, 4 a, 2, 3 a, 1, 2 a, 2, 1 a, 1, 1 a, 1, 3 a, 2, 2 a, 2, 2 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 5 a, 4, 3 a, 2, 2 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 3 a, 2, 2 a, 2, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 0, 0 a, 0, 6 a, 4, 3 a, 2, 2 a, 2, 2 a, 2, 2 a, 2, 2 a, 1, 1 a, 1, 7 a, 3, 4 a, 3, 3 a, 2, 2 a, 2, 1 a, 1, 1 a, 1, 0 a, 0, 5 a, 3, 6 a, 5, 3 a, 2, 3 a, 2, 2 a, 1, 2 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 24 b, 20, SS-S.csv
92, 4096, 12, 1, 33, 0, 23, 3, 7 a, 7, 6 a, 7, 3 a, 3, 2 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 9 a, 8, 4 a, 6, 2 a, 3, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 9 a, 7, 5 a, 5, 3 a, 5, 2 a, 4, 0 a, 0, 0 a, 0, 0 a, 0, 9 a, 8, 3 a, 5, 3 a, 5, 3 a, 5, 1 a, 2, 0 a, 2, 0 a, 0, 10 a, 8, 3 a, 5, 2 a, 3, 1 a, 2, 0 a, 0, 0 a, 0, 0 a, 0, 8 a, 7, 5 a, 5, 2 a, 3, 1 a, 3, 0 a, 2, 0 a, 0, 0 a, 0, 8 a, 7, 10 a, 9, 4 a, 5, 5 a, 6, 4 a, 4, 2 a, 4, 1 a, 2, 2 a, 3, 1 a, 3, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 33 b, 23, deeparch.csv
49, 10000, 5, 3, 59, 16, 15, 38, 52 b, 12, 57 b, 16, 74 d, 8, 41 a, 3, 51 b, 15, 70 d, 13, 54 b, 13, 43 a, 3, 41 a, 3, 39 a, 3, 40 a, 3, 37 a, 5, 41 a, 2, 36 a, 5, 43 a, 2, 39 a, 6, 42 a, 2, 39 a, 4, 38 a, 3, 36 a, 4, 29 a, 7, 46 b, 8, 42 a, 3, 40 a, 5, 40 a, 2, 39 a, 2, 34 a, 7, 34 a, 5, 43 a, 2, 36 a, 8, 36 a, 7, 36 a, 7, 34 a, 8, 32 a, 8, 29 a, 9, 42 a, 3, 41 a, 3, 41 a, 2, 40 a, 4, 37 a, 6, 33 a, 8, 33 a, 5, 43 a, 3, 43 a, 3, 40 a, 4, 42 a, 2, 41 a, 3, 41 a, 3, 40 a, 4, 40 a, 3, 38 a, 5, 38 a, 5, 34 a, 7, 37 a, 5, 34 a, 5, 35 a, 5, 59 c, 15, Health-ClosedIssues0001.csv
98, 10000, 5, 3, 54, 0, 36, 1, 39 c, 40, 78 d, 0, 78 d, 0, 78 d, 0, 78 d, 0, 78 d, 0, 39 c, 40, 0 a, 0, 4 a, 17, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 77 d, 0, 50 c, 38, 0 a, 0, 19 b, 35, 50 c, 38, 4 a, 17, 0 a, 0, 0 a, 0, 66 c, 29, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 31 b, 39, 11 a, 27, 4 a, 18, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 12 a, 29, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 8 a, 24, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 54 c, 36, Health-ClosedPRs0005.csv
