D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-12,DEHB-12_sd,DEHB-18,DEHB-18_sd,DEHB-24,DEHB-24_sd,DEHB-50,DEHB-50_sd,DEHB-100,DEHB-100_sd,DEHB-200,DEHB-200_sd,NSGAIII-6,NSGAIII-6_sd,NSGAIII-12,NSGAIII-12_sd,NSGAIII-18,NSGAIII-18_sd,NSGAIII-24,NSGAIII-24_sd,NSGAIII-50,NSGAIII-50_sd,NSGAIII-100,NSGAIII-100_sd,NSGAIII-200,NSGAIII-200_sd,SMAC-6,SMAC-6_sd,SMAC-12,SMAC-12_sd,SMAC-18,SMAC-18_sd,SMAC-24,SMAC-24_sd,SMAC-50,SMAC-50_sd,SMAC-100,SMAC-100_sd,SMAC-200,SMAC-200_sd,TPE-6,TPE-6_sd,TPE-12,TPE-12_sd,TPE-18,TPE-18_sd,TPE-24,TPE-24_sd,TPE-50,TPE-50_sd,TPE-100,TPE-100_sd,TPE-200,TPE-200_sd,ACT-6,ACT-6_sd,ACT-12,ACT-12_sd,ACT-18,ACT-18_sd,ACT-24,ACT-24_sd,ACT-50,ACT-50_sd,ACT-100,ACT-100_sd,ACT-200,ACT-200_sd,EZR-6,EZR-6_sd,EZR-12,EZR-12_sd,EZR-18,EZR-18_sd,EZR-24,EZR-24_sd,EZR-50,EZR-50_sd,EZR-100,EZR-100_sd,EZR-200,EZR-200_sd,KM++-6,KM++-6_sd,RAND-6,RAND-6_sd,KM++-12,KM++-12_sd,RAND-12,RAND-12_sd,KM++-18,KM++-18_sd,RAND-18,RAND-18_sd,KM++-24,KM++-24_sd,RAND-24,RAND-24_sd,KM++-50,KM++-50_sd,RAND-50,RAND-50_sd,KM++-100,KM++-100_sd,RAND-100,RAND-100_sd,KM++-200,KM++-200_sd,RAND-200,RAND-200_sd,Before,Before_sd, File
96, 10000, 5, 3, 56, 0, 20, 2, 60 d, 14, 63 e, 1, 63 e, 0, 9 a, 22, 63 e, 0, 3 a, 14, 50 d, 26, 24 b, 30, 9 a, 22, 9 a, 22, 0 a, 0, 63 d, 0, 0 a, 0, 0 a, 0, 24 b, 31, 37 c, 31, 37 c, 31, 63 d, 0, 0 a, 0, 0 a, 0, 0 a, 0, 43 c, 29, 3 a, 14, 3 a, 14, 63 d, 0, 63 d, 0, 0 a, 0, 0 a, 0, 15 b, 27, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 31 c, 32, 6 a, 19, 3 a, 14, 0 a, 0, 3 a, 14, 0 a, 0, 0 a, 0, 21 b, 30, 40 c, 30, 12 a, 25, 21 b, 30, 12 a, 25, 3 a, 14, 3 a, 14, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 56 d, 20, Health-ClosedPRs0007.csv
81, 10000, 5, 3, 55, 16, 12, 23, 52 d, 11, 39 c, 8, 33 b, 9, 56 e, 10, 33 b, 9, 35 b, 10, 31 b, 12, 48 d, 2, 32 b, 8, 27 a, 5, 27 a, 5, 36 c, 8, 23 a, 2, 22 a, 2, 36 c, 9, 33 b, 8, 30 b, 8, 26 a, 5, 24 a, 3, 21 a, 2, 21 a, 2, 46 d, 9, 28 b, 5, 27 a, 5, 25 a, 2, 24 a, 2, 25 a, 5, 20 a, 2, 40 c, 10, 32 b, 8, 28 b, 7, 26 a, 5, 23 a, 4, 21 a, 2, 18 a, 3, 38 c, 11, 33 b, 9, 30 b, 8, 28 b, 7, 24 a, 3, 22 a, 3, 21 a, 3, 40 c, 9, 38 c, 9, 35 b, 6, 34 b, 8, 31 b, 7, 30 b, 6, 30 b, 6, 30 b, 7, 25 a, 3, 26 a, 5, 24 a, 3, 23 a, 2, 22 a, 3, 23 a, 2, 55 e, 12, Health-ClosedIssues0008.csv
98, 10000, 5, 3, 53, 0, 37, 1, 0 a, 0, 0 a, 0, 4 a, 18, 0 a, 0, 0 a, 0, 80 d, 0, 76 d, 16, 0 a, 0, 0 a, 0, 79 d, 0, 0 a, 0, 0 a, 0, 68 d, 25, 0 a, 0, 32 b, 40, 40 b, 41, 12 a, 29, 4 a, 18, 0 a, 0, 0 a, 0, 59 c, 35, 79 d, 0, 24 b, 37, 0 a, 0, 79 d, 0, 0 a, 0, 0 a, 0, 16 b, 32, 8 a, 24, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 8 a, 24, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 8 a, 24, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 53 c, 37, Health-ClosedPRs0011.csv
95, 1460, 77, 4, 63, 21, 6, 23, 52 f, 4, 46 e, 14, 54 g, 12, 45 e, 9, 50 f, 16, 57 g, 6, 57 g, 5, 52 f, 7, 51 f, 4, 43 d, 10, 41 d, 11, 45 e, 7, 31 b, 11, 23 a, 6, 56 g, 3, 53 f, 5, 48 e, 6, 47 e, 8, 48 e, 4, 40 d, 8, 32 b, 11, 44 d, 9, 46 e, 5, 45 e, 10, 42 d, 7, 36 c, 7, 36 c, 7, 33 b, 8, 56 g, 7, 56 g, 7, 55 g, 7, 55 g, 6, 54 g, 6, 53 f, 7, 51 f, 8, 58 h, 4, 54 g, 7, 48 e, 8, 45 e, 8, 40 c, 8, 37 c, 7, 33 b, 3, 52 f, 9, 54 g, 4, 53 g, 4, 50 f, 7, 50 f, 6, 51 f, 6, 51 f, 4, 50 f, 5, 44 d, 7, 47 e, 5, 42 d, 6, 44 d, 8, 34 b, 9, 36 c, 9, 63 i, 6, home_data_for_ml_course.csv
47, 10000, 5, 3, 76, 0, 19, 40, 54 b, 12, 85 d, 12, 90 e, 2, 54 b, 12, 86 e, 14, 62 c, 24, 88 e, 3, 50 b, 1, 49 b, 4, 48 b, 6, 49 b, 3, 50 b, 3, 48 b, 5, 42 a, 11, 63 c, 19, 89 e, 0, 48 b, 8, 48 b, 8, 48 b, 8, 38 a, 19, 38 a, 18, 50 b, 1, 49 b, 4, 81 d, 16, 71 d, 31, 49 b, 4, 35 a, 32, 45 a, 7, 53 b, 13, 45 a, 10, 44 a, 10, 43 a, 10, 40 a, 11, 37 a, 11, 34 a, 12, 60 c, 17, 50 b, 0, 45 a, 14, 50 b, 0, 48 b, 5, 38 a, 11, 39 a, 15, 50 b, 0, 54 b, 12, 49 b, 7, 50 b, 0, 49 b, 6, 50 b, 0, 49 b, 5, 49 b, 5, 44 a, 10, 50 b, 1, 40 a, 14, 47 b, 8, 37 a, 14, 42 a, 14, 76 d, 19, Health-Commits0002.csv
81, 10000, 5, 3, 46, 18, 6, 23, 38 e, 8, 41 e, 10, 34 d, 6, 43 f, 7, 36 d, 9, 43 f, 9, 26 b, 7, 43 e, 7, 35 d, 2, 31 c, 6, 33 c, 8, 30 c, 6, 32 c, 6, 25 a, 5, 36 d, 4, 35 d, 4, 35 d, 6, 32 c, 6, 32 c, 7, 23 a, 5, 22 a, 2, 39 e, 7, 33 c, 6, 36 d, 6, 34 d, 5, 29 c, 6, 25 a, 6, 23 a, 5, 40 e, 8, 31 c, 6, 30 c, 7, 28 b, 7, 25 a, 7, 25 a, 8, 22 a, 7, 41 e, 7, 37 d, 6, 36 d, 5, 32 c, 6, 28 b, 6, 24 a, 5, 20 a, 2, 37 d, 7, 38 d, 6, 35 d, 6, 37 d, 4, 31 c, 7, 34 d, 6, 32 c, 6, 32 c, 6, 26 b, 6, 29 c, 6, 24 a, 4, 26 b, 5, 23 a, 6, 23 a, 2, 46 g, 6, Health-Commits0008.csv
60, 10000, 5, 3, 49, 9, 21, 25, 40 b, 17, 69 d, 10, 35 b, 5, 81 e, 0, 50 c, 10, 48 b, 30, 39 b, 14, 32 a, 2, 30 a, 3, 28 a, 3, 27 a, 5, 51 c, 9, 25 a, 3, 34 b, 12, 30 a, 4, 29 a, 4, 25 a, 5, 25 a, 4, 23 a, 4, 21 a, 4, 19 a, 3, 30 a, 3, 28 a, 3, 24 a, 4, 26 a, 4, 25 a, 4, 22 a, 3, 18 a, 3, 31 a, 3, 28 a, 5, 26 a, 5, 26 a, 5, 24 a, 4, 22 a, 5, 19 a, 3, 30 a, 3, 29 a, 4, 27 a, 6, 28 a, 4, 25 a, 3, 22 a, 5, 20 a, 4, 30 a, 4, 30 a, 3, 27 a, 4, 27 a, 5, 26 a, 6, 27 a, 5, 27 a, 4, 26 a, 4, 24 a, 4, 22 a, 4, 21 a, 4, 20 a, 4, 20 a, 4, 18 a, 4, 49 c, 21, Health-Commits0006.csv
97, 10000, 5, 3, 54, 2, 36, 4, 14 a, 28, 60 c, 34, 79 d, 0, 79 d, 0, 2 a, 0, 79 d, 0, 79 d, 0, 2 a, 0, 2 a, 0, 2 a, 0, 78 d, 0, 2 a, 0, 2 a, 0, 2 a, 0, 14 a, 28, 2 a, 0, 25 b, 36, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 79 d, 0, 2 a, 0, 75 d, 15, 71 d, 22, 2 a, 0, 2 a, 0, 2 a, 0, 10 a, 23, 3 a, 1, 3 a, 1, 3 a, 1, 3 a, 2, 4 a, 4, 4 a, 2, 14 a, 28, 6 a, 17, 3 a, 2, 3 a, 5, 3 a, 1, 4 a, 5, 3 a, 2, 2 a, 0, 10 a, 24, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 2 a, 0, 54 c, 36, Health-ClosedPRs0002.csv
93, 10000, 5, 3, 83, 28, 15, 31, 90 f, 4, 91 f, 2, 56 c, 24, 49 b, 24, 41 b, 22, 39 a, 20, 79 e, 12, 53 c, 23, 88 e, 5, 34 a, 17, 39 a, 20, 32 a, 14, 28 a, 0, 50 b, 23, 65 d, 26, 64 d, 25, 56 c, 24, 66 d, 21, 32 a, 14, 34 a, 17, 30 a, 10, 39 a, 20, 46 b, 23, 52 b, 23, 34 a, 17, 84 e, 7, 28 a, 0, 28 a, 0, 60 c, 22, 32 a, 13, 32 a, 13, 32 a, 13, 32 a, 13, 32 a, 14, 30 a, 11, 59 c, 24, 41 b, 21, 35 a, 18, 32 a, 14, 28 a, 0, 28 a, 0, 28 a, 0, 57 c, 22, 66 d, 20, 57 c, 22, 53 b, 23, 46 b, 23, 43 b, 22, 34 a, 17, 38 a, 19, 28 a, 0, 28 a, 0, 28 a, 0, 28 a, 0, 28 a, 0, 28 a, 0, 83 e, 15, Health-ClosedPRs0004.csv
97, 5160, 9, 1, 76, 0, 37, 3, 82 d, 34, 58 c, 47, 58 c, 47, 65 c, 40, 65 c, 40, 73 c, 34, 52 c, 44, 30 b, 30, 8 a, 18, 2 a, 11, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 10 a, 21, 25 b, 26, 13 a, 22, 5 a, 15, 8 a, 18, 0 a, 0, 0 a, 0, 12 a, 22, 5 a, 15, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 20 b, 25, 2 a, 11, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 25 b, 38, 10 a, 21, 5 a, 15, 10 a, 26, 0 a, 0, 0 a, 0, 0 a, 0, 25 b, 34, 35 b, 40, 18 b, 34, 8 a, 24, 2 a, 11, 5 a, 15, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 76 d, 37, dataset600.csv
76, 10000, 5, 3, 85, 49, 6, 58, 86 e, 0, 85 e, 7, 84 d, 9, 69 b, 14, 72 c, 15, 69 b, 15, 74 c, 14, 82 d, 10, 72 c, 14, 85 e, 5, 63 b, 12, 79 d, 11, 57 a, 1, 57 a, 1, 80 d, 12, 84 d, 6, 73 c, 15, 71 c, 14, 62 a, 12, 60 a, 9, 56 a, 3, 82 d, 10, 73 c, 14, 83 d, 8, 70 b, 14, 60 a, 9, 64 b, 12, 65 b, 15, 79 d, 12, 67 b, 13, 64 b, 12, 62 a, 11, 58 a, 7, 57 a, 7, 57 a, 7, 80 d, 12, 72 c, 14, 67 b, 14, 66 b, 12, 62 b, 10, 57 a, 1, 56 a, 3, 79 d, 13, 81 d, 10, 69 b, 14, 80 d, 11, 68 b, 14, 71 c, 14, 63 b, 11, 65 b, 13, 58 a, 7, 59 a, 7, 57 a, 1, 57 a, 2, 56 a, 2, 57 a, 1, 85 e, 6, Health-ClosedPRs0008.csv
97, 10000, 5, 3, 66, 0, 35, 2, 43 c, 45, 82 e, 20, 8 a, 24, 82 e, 19, 87 e, 1, 0 a, 0, 17 a, 36, 85 e, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 59 c, 39, 40 c, 41, 7 a, 22, 4 a, 19, 8 a, 26, 0 a, 0, 0 a, 0, 86 e, 1, 0 a, 0, 79 e, 19, 0 a, 0, 0 a, 0, 0 a, 0, 16 a, 33, 9 a, 26, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 16 a, 32, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 7 a, 22, 19 b, 34, 0 a, 0, 11 a, 26, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 66 d, 35, Health-ClosedIssues0011.csv
84, 2938, 20, 2, 39, 1, 18, 7, 35 c, 9, 35 c, 4, 31 c, 6, 31 c, 4, 29 c, 6, 23 b, 9, 16 b, 7, 35 c, 5, 29 c, 6, 29 c, 5, 28 c, 5, 24 b, 5, 23 b, 5, 11 a, 5, 33 c, 7, 37 c, 8, 33 c, 4, 34 c, 7, 28 c, 7, 28 c, 5, 20 b, 7, 15 b, 5, 18 b, 8, 22 b, 9, 10 a, 4, 7 a, 3, 7 a, 3, 6 a, 3, 17 b, 5, 14 b, 6, 13 a, 5, 10 a, 6, 6 a, 4, 3 a, 2, 2 a, 1, 18 b, 6, 12 a, 6, 10 a, 4, 7 a, 4, 4 a, 2, 2 a, 1, 2 a, 1, 20 b, 7, 15 b, 6, 15 b, 5, 20 b, 7, 13 a, 4, 15 b, 4, 11 a, 5, 12 a, 4, 9 a, 5, 9 a, 3, 6 a, 4, 7 a, 3, 4 a, 2, 4 a, 2, 39 d, 18, Life_Expectancy_Data.csv
81, 10000, 5, 3, 61, 10, 5, 19, 53 g, 7, 64 k, 1, 54 g, 7, 56 h, 8, 53 g, 11, 51 g, 8, 41 e, 14, 56 h, 2, 54 h, 4, 52 g, 6, 51 g, 5, 54 g, 7, 43 e, 6, 34 d, 13, 58 i, 5, 48 f, 10, 42 e, 10, 42 e, 14, 37 d, 12, 25 b, 10, 19 a, 5, 62 j, 2, 50 g, 8, 53 g, 6, 50 g, 5, 46 f, 11, 36 d, 12, 26 b, 10, 54 g, 6, 45 f, 8, 41 e, 9, 40 d, 10, 34 d, 11, 27 b, 12, 20 a, 16, 51 g, 11, 52 g, 6, 49 f, 10, 47 f, 8, 38 d, 13, 29 c, 12, 22 b, 6, 55 h, 5, 54 h, 6, 49 f, 6, 52 g, 5, 47 f, 7, 48 f, 10, 46 f, 9, 47 f, 7, 40 e, 11, 46 f, 8, 37 d, 9, 40 d, 8, 36 d, 8, 36 d, 9, 61 j, 5, Health-ClosedPRs0010.csv
43, 10000, 5, 3, 34, 13, 6, 25, 32 c, 3, 29 b, 3, 30 b, 3, 27 a, 2, 34 d, 8, 25 a, 3, 29 b, 7, 31 c, 1, 28 b, 2, 27 a, 2, 26 a, 1, 25 a, 1, 23 a, 4, 24 a, 2, 30 b, 3, 28 b, 2, 26 a, 5, 29 b, 2, 25 a, 3, 26 a, 2, 24 a, 4, 31 c, 2, 28 b, 3, 27 a, 2, 31 c, 1, 25 a, 5, 28 b, 3, 23 a, 6, 30 b, 2, 30 b, 2, 29 b, 2, 28 b, 3, 26 a, 4, 26 a, 4, 25 a, 5, 31 c, 2, 29 b, 3, 29 b, 3, 29 b, 3, 26 a, 4, 24 a, 4, 23 a, 4, 29 b, 2, 30 b, 2, 28 b, 1, 28 b, 2, 27 a, 2, 27 b, 1, 27 a, 2, 27 a, 2, 25 a, 2, 26 a, 1, 24 a, 3, 25 a, 2, 24 a, 2, 22 a, 4, 34 d, 6, Health-ClosedIssues0004.csv
67, 10000, 5, 3, 51, 16, 17, 28, 35 b, 12, 54 d, 12, 45 c, 12, 31 a, 10, 61 e, 10, 45 c, 17, 58 e, 11, 32 a, 4, 30 a, 2, 30 a, 2, 27 a, 2, 27 a, 2, 26 a, 2, 23 a, 2, 34 b, 4, 32 a, 4, 33 a, 6, 34 b, 4, 29 a, 4, 27 a, 4, 24 a, 4, 43 c, 3, 30 a, 2, 40 b, 4, 28 a, 2, 28 a, 5, 30 a, 2, 21 a, 3, 37 b, 12, 31 a, 8, 29 a, 2, 28 a, 2, 26 a, 3, 24 a, 4, 21 a, 3, 37 b, 12, 29 a, 3, 30 a, 3, 29 a, 2, 26 a, 4, 24 a, 2, 22 a, 3, 31 a, 3, 32 a, 4, 29 a, 4, 31 a, 2, 30 a, 2, 29 a, 3, 29 a, 3, 29 a, 3, 28 a, 3, 27 a, 2, 25 a, 3, 25 a, 3, 23 a, 3, 24 a, 3, 51 d, 17, Health-Commits0010.csv
77, 10000, 5, 3, 24, 7, 10, 11, 14 a, 3, 26 c, 9, 12 a, 2, 12 a, 1, 16 b, 8, 18 b, 10, 18 b, 10, 16 b, 4, 12 a, 2, 14 a, 2, 11 a, 1, 10 a, 1, 10 a, 1, 9 a, 1, 14 a, 3, 12 a, 2, 12 a, 1, 11 a, 2, 10 a, 1, 9 a, 1, 9 a, 1, 15 b, 5, 12 a, 2, 12 a, 1, 11 a, 1, 10 a, 1, 10 a, 1, 9 a, 1, 13 a, 2, 12 a, 2, 11 a, 1, 11 a, 1, 10 a, 1, 9 a, 1, 9 a, 1, 14 a, 2, 12 a, 2, 12 a, 1, 11 a, 2, 11 a, 1, 9 a, 1, 9 a, 1, 14 a, 2, 13 a, 2, 12 a, 2, 13 a, 2, 12 a, 2, 12 a, 2, 11 a, 2, 11 a, 2, 10 a, 1, 11 a, 1, 10 a, 1, 10 a, 1, 9 a, 0, 10 a, 1, 24 c, 10, Health-Commits0009.csv
91, 5184, 12, 2, 29, 3, 21, 5, 8 a, 2, 6 a, 2, 6 a, 2, 6 a, 2, 5 a, 2, 4 a, 1, 4 a, 1, 7 a, 2, 6 a, 2, 5 a, 2, 5 a, 1, 4 a, 1, 4 a, 1, 3 a, 0, 8 a, 2, 7 a, 2, 6 a, 2, 5 a, 2, 4 a, 1, 3 a, 1, 3 a, 0, 7 a, 2, 6 a, 2, 6 a, 2, 5 a, 2, 4 a, 2, 4 a, 1, 4 a, 1, 10 a, 7, 6 a, 2, 6 a, 2, 5 a, 2, 5 a, 2, 5 a, 1, 5 a, 1, 11 a, 3, 7 a, 2, 6 a, 2, 6 a, 1, 4 a, 1, 4 a, 1, 3 a, 0, 8 a, 3, 7 a, 2, 5 a, 2, 5 a, 2, 4 a, 1, 5 a, 1, 4 a, 1, 5 a, 1, 4 a, 0, 4 a, 0, 3 a, 0, 3 a, 0, 3 a, 0, 3 a, 0, 29 b, 21, SS-T.csv
60, 4400, 9, 1, 55, 0, 12, 22, 41 c, 8, 39 c, 8, 37 c, 6, 35 b, 7, 28 b, 8, 24 a, 6, 21 a, 6, 40 c, 11, 35 b, 9, 33 b, 7, 30 b, 7, 26 b, 5, 23 a, 5, 20 a, 5, 43 c, 6, 35 b, 8, 35 b, 11, 34 b, 8, 31 b, 6, 29 b, 7, 21 a, 8, 40 c, 11, 37 c, 9, 35 b, 8, 32 b, 6, 26 b, 9, 23 a, 8, 19 a, 9, 39 c, 10, 35 b, 7, 33 b, 9, 32 b, 9, 29 b, 8, 27 b, 7, 24 a, 7, 39 c, 8, 38 c, 7, 34 b, 7, 30 b, 7, 28 b, 6, 26 a, 7, 22 a, 5, 43 c, 6, 41 c, 8, 34 b, 10, 34 b, 7, 33 b, 6, 34 b, 7, 34 b, 6, 31 b, 7, 27 b, 5, 27 b, 6, 22 a, 8, 22 a, 8, 20 a, 6, 22 a, 6, 55 d, 12, redis.csv
80, 10000, 5, 3, 60, 7, 29, 17, 77 d, 14, 74 d, 19, 77 d, 14, 30 b, 26, 75 d, 14, 73 d, 15, 76 d, 4, 24 a, 19, 17 a, 3, 78 d, 6, 17 a, 3, 17 a, 3, 18 a, 1, 14 a, 5, 79 d, 1, 36 b, 29, 17 a, 3, 21 a, 13, 18 a, 1, 16 a, 4, 74 d, 1, 58 c, 30, 76 d, 15, 79 d, 1, 17 a, 3, 17 a, 3, 16 a, 4, 14 a, 5, 23 a, 19, 17 a, 4, 17 a, 4, 17 a, 4, 17 a, 6, 15 a, 5, 14 a, 5, 33 b, 27, 18 a, 3, 18 a, 3, 17 a, 6, 18 a, 3, 17 a, 6, 14 a, 5, 17 a, 3, 24 a, 19, 18 a, 2, 18 a, 0, 18 a, 1, 18 a, 0, 17 a, 3, 18 a, 0, 16 a, 4, 17 a, 3, 15 a, 5, 17 a, 3, 15 a, 5, 15 a, 5, 60 c, 29, Health-ClosedIssues0002.csv
98, 10000, 5, 3, 60, 2, 10, 3, 62 j, 0, 40 g, 28, 43 g, 28, 31 e, 30, 62 j, 2, 11 b, 22, 61 j, 1, 45 g, 26, 61 j, 0, 34 e, 30, 28 e, 30, 22 d, 28, 5 a, 13, 5 a, 13, 58 i, 13, 48 h, 24, 42 g, 27, 61 j, 1, 13 b, 24, 16 c, 26, 2 a, 0, 57 i, 13, 31 e, 30, 61 j, 0, 61 j, 0, 13 b, 23, 27 e, 29, 54 i, 18, 46 h, 26, 31 e, 30, 31 e, 30, 25 d, 29, 14 b, 24, 11 b, 21, 8 b, 18, 52 h, 21, 40 g, 29, 37 f, 30, 34 f, 30, 11 b, 22, 5 a, 13, 2 a, 0, 45 g, 26, 57 i, 13, 42 g, 27, 40 g, 28, 34 e, 30, 40 g, 28, 28 e, 29, 36 f, 29, 10 b, 21, 22 d, 28, 8 b, 18, 12 b, 22, 2 a, 0, 2 a, 0, 60 j, 10, Health-ClosedPRs0006.csv
88, 10000, 5, 3, 53, 11, 8, 16, 43 f, 12, 37 e, 9, 58 i, 4, 39 e, 6, 44 f, 4, 51 h, 3, 42 f, 19, 45 f, 4, 33 d, 8, 30 d, 9, 26 c, 6, 26 c, 7, 44 f, 2, 16 a, 5, 43 f, 5, 45 f, 6, 40 f, 5, 39 e, 5, 29 d, 8, 20 b, 8, 19 b, 4, 47 g, 4, 51 h, 4, 45 f, 3, 34 d, 6, 26 c, 6, 41 f, 2, 40 f, 1, 45 f, 6, 35 e, 11, 31 d, 11, 29 c, 11, 23 c, 10, 19 b, 8, 15 a, 7, 43 f, 10, 37 e, 9, 35 e, 10, 31 d, 9, 27 c, 8, 23 c, 6, 17 a, 5, 38 e, 7, 43 f, 5, 38 e, 8, 39 e, 7, 35 e, 9, 38 e, 6, 34 d, 8, 32 d, 8, 27 c, 9, 30 d, 7, 24 c, 8, 22 b, 7, 21 b, 6, 20 b, 6, 53 h, 8, Health-Commits0003.csv
