D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-12,DEHB-12_sd,DEHB-18,DEHB-18_sd,DEHB-24,DEHB-24_sd,DEHB-50,DEHB-50_sd,DEHB-100,DEHB-100_sd,DEHB-200,DEHB-200_sd,NSGAIII-6,NSGAIII-6_sd,NSGAIII-12,NSGAIII-12_sd,NSGAIII-18,NSGAIII-18_sd,NSGAIII-24,NSGAIII-24_sd,NSGAIII-50,NSGAIII-50_sd,NSGAIII-100,NSGAIII-100_sd,NSGAIII-200,NSGAIII-200_sd,SMAC-6,SMAC-6_sd,SMAC-12,SMAC-12_sd,SMAC-18,SMAC-18_sd,SMAC-24,SMAC-24_sd,SMAC-50,SMAC-50_sd,SMAC-100,SMAC-100_sd,SMAC-200,SMAC-200_sd,TPE-6,TPE-6_sd,TPE-12,TPE-12_sd,TPE-18,TPE-18_sd,TPE-24,TPE-24_sd,TPE-50,TPE-50_sd,TPE-100,TPE-100_sd,TPE-200,TPE-200_sd,ACT-6,ACT-6_sd,ACT-12,ACT-12_sd,ACT-18,ACT-18_sd,ACT-24,ACT-24_sd,ACT-50,ACT-50_sd,ACT-100,ACT-100_sd,ACT-200,ACT-200_sd,EZR-6,EZR-6_sd,EZR-12,EZR-12_sd,EZR-18,EZR-18_sd,EZR-24,EZR-24_sd,EZR-50,EZR-50_sd,EZR-100,EZR-100_sd,EZR-200,EZR-200_sd,KM++-6,KM++-6_sd,RAND-6,RAND-6_sd,KM++-12,KM++-12_sd,RAND-12,RAND-12_sd,KM++-18,KM++-18_sd,RAND-18,RAND-18_sd,KM++-24,KM++-24_sd,RAND-24,RAND-24_sd,KM++-50,KM++-50_sd,RAND-50,RAND-50_sd,KM++-100,KM++-100_sd,RAND-100,RAND-100_sd,KM++-200,KM++-200_sd,RAND-200,RAND-200_sd,Before,Before_sd, File
95, 10000, 5, 3, 64, 15, 33, 17, 30 b, 28, 20 a, 15, 85 d, 2, 61 c, 34, 83 d, 16, 84 d, 3, 37 b, 33, 85 d, 1, 16 a, 0, 16 a, 0, 16 a, 0, 84 d, 1, 16 a, 0, 79 d, 11, 65 c, 32, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 85 d, 1, 85 d, 1, 84 d, 1, 84 d, 1, 16 a, 0, 79 d, 11, 16 a, 0, 20 a, 15, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 1, 27 a, 25, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 23 a, 21, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 16 a, 0, 64 c, 33, Health-Commits0001.csv
75, 10000, 5, 3, 35, 6, 7, 14, 32 e, 10, 32 e, 7, 21 b, 6, 23 c, 7, 39 g, 11, 28 d, 7, 26 c, 12, 30 d, 5, 23 c, 7, 20 b, 6, 27 d, 4, 23 c, 3, 21 b, 2, 13 a, 3, 25 c, 7, 24 c, 7, 22 b, 6, 15 a, 3, 20 b, 3, 14 a, 3, 13 a, 3, 26 c, 8, 22 b, 7, 16 b, 6, 15 a, 5, 23 c, 2, 12 a, 2, 22 b, 2, 27 d, 6, 23 c, 5, 21 b, 5, 19 b, 5, 15 a, 4, 13 a, 3, 11 a, 2, 27 d, 6, 24 c, 6, 19 b, 6, 19 b, 6, 15 a, 2, 13 a, 2, 12 a, 3, 28 d, 6, 28 d, 5, 22 b, 6, 24 c, 6, 20 b, 4, 23 c, 6, 20 b, 5, 20 b, 5, 18 b, 4, 18 b, 5, 14 a, 3, 14 a, 3, 13 a, 3, 14 a, 2, 35 f, 7, Health-ClosedIssues0003.csv
79, 10000, 5, 3, 46, 7, 5, 15, 42 g, 9, 45 h, 5, 43 g, 3, 38 f, 9, 47 h, 4, 44 g, 4, 37 f, 13, 42 g, 7, 41 g, 6, 33 e, 8, 35 e, 9, 39 f, 3, 24 c, 6, 25 c, 6, 38 f, 8, 37 f, 10, 34 e, 9, 36 f, 9, 21 b, 7, 19 b, 4, 19 b, 10, 44 h, 2, 35 e, 8, 29 d, 8, 32 e, 8, 36 f, 3, 20 b, 6, 26 d, 10, 45 h, 2, 39 f, 7, 33 e, 10, 32 e, 9, 29 d, 9, 19 b, 7, 15 a, 3, 42 g, 8, 39 f, 7, 34 e, 10, 37 f, 8, 27 d, 8, 20 b, 8, 15 a, 5, 44 h, 2, 42 g, 6, 34 e, 10, 40 f, 6, 36 e, 8, 34 e, 9, 35 e, 7, 34 e, 8, 27 d, 6, 30 e, 7, 24 c, 5, 24 c, 8, 20 b, 7, 22 b, 7, 46 h, 5, Health-ClosedIssues0009.csv
28, 10000, 5, 3, 31, 0, 14, 22, 23 a, 1, 24 a, 0, 22 a, 0, 22 a, 0, 25 a, 1, 26 a, 10, 20 a, 7, 23 a, 0, 22 a, 0, 22 a, 1, 22 a, 0, 22 a, 0, 23 a, 0, 23 a, 0, 23 a, 1, 23 a, 0, 23 a, 0, 23 a, 0, 23 a, 1, 21 a, 5, 20 a, 6, 23 a, 1, 23 a, 0, 23 a, 0, 22 a, 0, 22 a, 1, 22 a, 1, 23 a, 0, 22 a, 3, 22 a, 3, 22 a, 3, 22 a, 3, 21 a, 3, 20 a, 5, 15 a, 9, 23 a, 1, 23 a, 0, 22 a, 0, 23 a, 1, 23 a, 1, 21 a, 6, 20 a, 7, 23 a, 0, 23 a, 0, 23 a, 0, 23 a, 1, 22 a, 0, 22 a, 0, 22 a, 0, 22 a, 0, 22 a, 3, 22 a, 1, 21 a, 3, 22 a, 0, 21 a, 3, 21 a, 3, 31 b, 14, Health-Commits0004.csv
81, 10000, 5, 3, 25, 0, 12, 5, 14 b, 8, 11 b, 7, 25 d, 13, 18 c, 11, 10 b, 7, 24 d, 5, 3 a, 2, 12 b, 7, 6 a, 2, 6 a, 2, 6 a, 2, 4 a, 2, 3 a, 2, 2 a, 1, 12 b, 6, 7 a, 2, 6 a, 2, 5 a, 3, 5 a, 3, 4 a, 3, 2 a, 1, 10 b, 6, 11 b, 6, 6 a, 2, 6 a, 2, 4 a, 2, 4 a, 3, 2 a, 2, 13 b, 7, 8 a, 6, 6 a, 4, 6 a, 4, 4 a, 3, 4 a, 3, 3 a, 3, 12 b, 6, 8 a, 5, 7 a, 2, 7 a, 1, 4 a, 2, 3 a, 2, 2 a, 1, 10 b, 6, 10 b, 6, 10 b, 6, 9 a, 5, 6 a, 4, 7 a, 3, 7 a, 2, 6 a, 2, 5 a, 2, 5 a, 3, 3 a, 2, 4 a, 3, 3 a, 2, 3 a, 1, 25 d, 12, Health-ClosedIssues0006.csv
33, 10000, 5, 3, 52, 23, 3, 42, 51 e, 1, 48 d, 2, 47 c, 6, 50 d, 7, 52 e, 4, 47 c, 3, 49 d, 7, 49 d, 1, 47 c, 1, 47 c, 1, 47 c, 2, 44 b, 2, 45 b, 3, 42 a, 2, 50 d, 4, 49 d, 4, 48 c, 4, 48 d, 1, 45 b, 3, 45 b, 3, 43 a, 4, 51 e, 1, 48 c, 2, 46 c, 1, 47 c, 1, 46 c, 4, 46 b, 4, 49 d, 1, 49 d, 1, 46 c, 3, 45 b, 3, 45 b, 3, 45 b, 3, 44 b, 3, 42 a, 3, 49 d, 1, 47 c, 2, 47 c, 2, 46 b, 3, 46 b, 3, 45 b, 3, 43 a, 3, 48 d, 3, 49 d, 2, 48 c, 2, 48 c, 1, 47 c, 2, 47 c, 2, 47 c, 2, 47 c, 2, 45 b, 2, 46 c, 2, 45 b, 2, 45 b, 2, 41 a, 6, 42 a, 3, 52 e, 3, Health-ClosedIssues0010.csv
97, 10000, 5, 3, 56, 8, 33, 9, 79 d, 1, 68 d, 26, 78 d, 1, 78 d, 1, 79 d, 1, 76 d, 16, 68 d, 22, 78 d, 0, 12 a, 16, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 26 b, 31, 12 a, 16, 16 a, 21, 8 a, 0, 8 a, 0, 8 a, 0, 78 d, 0, 78 d, 0, 8 a, 0, 78 d, 0, 8 a, 0, 12 a, 15, 8 a, 0, 15 a, 22, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 23 b, 28, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 15 a, 22, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 8 a, 0, 56 c, 33, Health-ClosedPRs0003.csv
72, 10000, 5, 3, 63, 9, 4, 24, 58 f, 11, 63 h, 1, 57 f, 11, 54 e, 18, 50 d, 21, 64 h, 1, 62 h, 1, 60 g, 1, 63 h, 0, 50 d, 20, 55 e, 15, 45 c, 22, 40 b, 24, 62 h, 0, 60 g, 1, 60 g, 1, 57 f, 11, 56 f, 15, 50 d, 20, 45 c, 23, 25 a, 23, 63 h, 0, 63 h, 1, 57 f, 11, 48 d, 20, 63 h, 1, 53 d, 18, 62 h, 1, 60 g, 11, 54 e, 18, 54 e, 18, 49 d, 22, 30 b, 24, 26 a, 23, 23 a, 22, 62 h, 2, 59 f, 11, 51 d, 20, 51 d, 20, 53 e, 18, 38 b, 24, 33 b, 25, 58 f, 11, 60 g, 1, 60 g, 0, 55 e, 15, 57 f, 11, 57 f, 11, 48 c, 21, 52 d, 18, 40 b, 24, 47 c, 21, 38 b, 24, 43 b, 23, 21 a, 20, 23 a, 21, 63 h, 4, Health-ClosedIssues0007.csv
90, 6840, 16, 2, 55, 0, 22, 6, 23 b, 14, 18 b, 12, 9 a, 9, 8 a, 7, 4 a, 3, 2 a, 1, 1 a, 1, 15 b, 11, 10 a, 8, 7 a, 5, 6 a, 5, 4 a, 2, 3 a, 2, 1 a, 1, 21 b, 12, 9 a, 6, 7 a, 6, 4 a, 4, 2 a, 1, 1 a, 1, 1 a, 1, 15 b, 11, 10 a, 8, 8 a, 6, 7 a, 6, 4 a, 4, 3 a, 2, 2 a, 2, 26 c, 12, 14 b, 15, 12 a, 14, 9 a, 13, 4 a, 5, 1 a, 1, 1 a, 1, 31 c, 10, 21 b, 10, 18 b, 11, 11 a, 9, 4 a, 4, 4 a, 4, 2 a, 1, 22 b, 10, 31 c, 7, 18 b, 9, 27 c, 10, 12 a, 9, 17 b, 10, 11 a, 7, 18 b, 9, 9 a, 8, 11 a, 7, 4 a, 3, 9 a, 7, 3 a, 2, 4 a, 2, 55 d, 22, SS-V.csv
61, 10000, 5, 3, 50, 5, 22, 23, 42 b, 24, 40 b, 21, 51 c, 21, 29 a, 4, 42 b, 24, 46 c, 18, 22 a, 3, 36 b, 12, 23 a, 1, 22 a, 1, 23 a, 1, 22 a, 1, 21 a, 1, 21 a, 3, 25 a, 3, 31 b, 14, 24 a, 1, 32 b, 14, 39 b, 19, 22 a, 1, 22 a, 1, 39 b, 14, 24 a, 1, 23 a, 1, 23 a, 1, 22 a, 1, 22 a, 1, 21 a, 6, 26 a, 11, 23 a, 3, 22 a, 3, 22 a, 3, 21 a, 3, 21 a, 3, 20 a, 5, 28 a, 7, 24 a, 1, 23 a, 1, 23 a, 1, 22 a, 1, 21 a, 4, 21 a, 1, 25 a, 1, 25 a, 3, 24 a, 1, 24 a, 1, 24 a, 1, 23 a, 1, 23 a, 3, 23 a, 1, 22 a, 1, 22 a, 1, 22 a, 1, 22 a, 1, 21 a, 1, 21 a, 3, 50 c, 22, Health-ClosedIssues0005.csv
81, 2205, 31, 8, 74, 48, 7, 52, 58 b, 2, 57 b, 3, 56 b, 3, 54 a, 3, 53 a, 2, 52 a, 2, 51 a, 2, 57 b, 4, 54 a, 3, 53 a, 2, 52 a, 2, 52 a, 1, 50 a, 1, 50 a, 1, 59 b, 4, 56 b, 3, 54 a, 2, 54 a, 2, 52 a, 2, 52 a, 2, 51 a, 1, 57 b, 4, 55 a, 3, 55 a, 3, 54 a, 3, 54 a, 3, 52 a, 2, 52 a, 2, 65 d, 6, 61 c, 6, 60 b, 5, 58 b, 5, 54 a, 5, 52 a, 4, 50 a, 2, 65 d, 6, 62 c, 5, 59 b, 4, 60 b, 4, 55 b, 5, 51 a, 3, 49 a, 2, 64 c, 6, 65 d, 5, 59 b, 5, 62 c, 5, 59 b, 4, 57 b, 6, 57 b, 4, 57 b, 4, 56 b, 3, 54 a, 4, 53 a, 3, 53 a, 3, 51 a, 3, 52 a, 3, 74 e, 7, Marketing_Analytics.csv
74, 10000, 5, 3, 75, 1, 26, 20, 41 b, 20, 41 b, 18, 35 b, 11, 33 b, 9, 26 a, 3, 24 a, 6, 14 a, 11, 40 b, 19, 32 b, 15, 29 a, 3, 27 a, 4, 22 a, 6, 17 a, 6, 20 a, 4, 41 b, 21, 24 a, 6, 20 a, 6, 18 a, 5, 15 a, 6, 11 a, 4, 10 a, 4, 41 b, 20, 28 a, 6, 26 a, 5, 22 a, 5, 18 a, 6, 22 a, 5, 19 a, 5, 34 b, 15, 22 a, 6, 19 a, 4, 19 a, 4, 17 a, 5, 13 a, 6, 10 a, 7, 34 b, 15, 26 a, 5, 26 a, 7, 20 a, 8, 17 a, 6, 13 a, 5, 10 a, 6, 34 b, 12, 38 b, 17, 30 b, 11, 31 b, 9, 25 a, 5, 26 a, 5, 25 a, 5, 25 a, 4, 20 a, 5, 23 a, 5, 18 a, 6, 19 a, 5, 15 a, 5, 15 a, 5, 75 c, 26, Health-Commits0000.csv
89, 4608, 21, 2, 46, 23, 15, 26, 31 b, 5, 30 a, 5, 28 a, 3, 27 a, 3, 26 a, 2, 25 a, 2, 24 a, 1, 33 b, 7, 29 a, 5, 27 a, 2, 27 a, 2, 25 a, 1, 25 a, 1, 24 a, 0, 33 b, 6, 28 a, 3, 28 a, 3, 27 a, 3, 25 a, 1, 24 a, 2, 24 a, 1, 33 b, 7, 29 a, 4, 28 a, 4, 28 a, 4, 26 a, 3, 26 a, 3, 25 a, 2, 34 b, 9, 30 a, 9, 28 a, 7, 25 a, 4, 24 a, 1, 23 a, 0, 23 a, 0, 33 b, 10, 26 a, 1, 26 a, 4, 25 a, 1, 24 a, 0, 24 a, 0, 24 a, 0, 27 a, 4, 27 a, 3, 25 a, 1, 25 a, 1, 25 a, 1, 25 a, 1, 25 a, 1, 24 a, 1, 24 a, 1, 24 a, 1, 24 a, 1, 24 a, 0, 23 a, 0, 23 a, 0, 46 c, 15, SS-U.csv
98, 10000, 5, 2, 33, 0, 47, 1, 50 b, 51, 90 d, 31, 95 d, 22, 60 c, 50, 15 a, 37, 30 b, 47, 0 a, 0, 10 a, 31, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 5 a, 22, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 33 b, 47, Health-ClosedPRs0000.csv
91, 10000, 5, 3, 55, 5, 15, 10, 33 c, 16, 27 c, 16, 30 c, 16, 17 b, 7, 20 b, 20, 46 e, 22, 41 d, 22, 40 d, 22, 28 c, 22, 17 b, 18, 15 a, 6, 11 a, 5, 19 b, 2, 8 a, 1, 40 d, 20, 22 b, 17, 21 b, 17, 16 b, 11, 11 a, 4, 9 a, 2, 11 a, 5, 35 d, 17, 29 c, 14, 25 c, 3, 21 b, 2, 12 a, 6, 11 a, 5, 9 a, 4, 30 c, 24, 14 a, 12, 10 a, 5, 10 a, 4, 9 a, 2, 8 a, 1, 8 a, 1, 51 e, 17, 32 c, 23, 21 b, 17, 18 b, 18, 10 a, 4, 8 a, 1, 8 a, 1, 31 c, 18, 32 c, 19, 21 b, 15, 29 c, 17, 17 b, 8, 18 b, 12, 16 b, 6, 18 b, 12, 12 a, 5, 12 a, 6, 10 a, 4, 8 a, 1, 8 a, 1, 8 a, 1, 55 f, 15, Health-Commits0007.csv
97, 10000, 5, 3, 52, 0, 27, 2, 67 e, 0, 16 b, 28, 67 e, 0, 40 c, 33, 6 a, 19, 63 d, 15, 6 a, 20, 43 c, 32, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 22 b, 31, 3 a, 15, 19 b, 30, 0 a, 0, 16 b, 28, 3 a, 14, 0 a, 0, 43 c, 32, 7 a, 20, 66 e, 1, 0 a, 0, 0 a, 0, 0 a, 0, 66 e, 0, 10 a, 24, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 13 a, 27, 3 a, 15, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 3 a, 14, 13 a, 27, 3 a, 14, 3 a, 14, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 52 d, 27, Health-Commits0011.csv
92, 7043, 19, 2, 39, 0, 25, 3, 71 e, 11, 68 e, 16, 53 d, 12, 48 c, 13, 35 c, 9, 51 d, 13, 57 d, 12, 35 c, 8, 46 c, 7, 15 b, 9, 12 a, 7, 26 c, 7, 29 c, 6, 14 b, 3, 8 a, 10, 20 b, 14, 37 c, 20, 7 a, 5, 5 a, 4, 2 a, 1, 3 a, 3, 10 a, 5, 7 a, 4, 5 a, 1, 6 a, 2, 4 a, 0, 4 a, 1, 4 a, 0, 8 a, 9, 2 a, 2, 2 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 4 a, 5, 3 a, 4, 1 a, 1, 1 a, 1, 1 a, 0, 1 a, 0, 1 a, 0, 8 a, 8, 9 a, 11, 6 a, 8, 3 a, 3, 2 a, 1, 2 a, 2, 2 a, 1, 2 a, 2, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 39 c, 25, WA_Fn-UseC_-Telco-Customer-Churn.csv
95, 19008, 9, 1, 15, 0, 27, 1, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 1, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 1, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 1 a, 0, 1 a, 0, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 15 b, 27, PostgreSQL.csv
71, 10000, 5, 3, 75, 0, 7, 22, 77 i, 8, 65 g, 9, 66 g, 8, 63 f, 9, 68 h, 18, 72 i, 20, 66 g, 16, 63 f, 5, 63 f, 6, 63 f, 6, 59 f, 6, 56 e, 8, 50 d, 11, 49 d, 10, 77 i, 8, 58 f, 14, 65 g, 17, 64 g, 13, 50 d, 19, 28 b, 17, 17 a, 16, 63 g, 6, 62 f, 5, 55 e, 12, 55 e, 12, 49 d, 20, 36 c, 15, 54 e, 19, 61 f, 14, 54 e, 14, 51 d, 15, 50 d, 15, 42 c, 19, 34 b, 22, 27 a, 25, 62 f, 13, 59 f, 8, 60 f, 10, 52 d, 12, 49 d, 13, 41 c, 16, 29 b, 15, 63 g, 9, 67 g, 6, 54 e, 15, 60 f, 9, 58 f, 12, 56 e, 11, 51 d, 15, 57 e, 9, 49 d, 13, 54 d, 9, 39 c, 16, 47 d, 10, 36 c, 13, 39 c, 15, 75 i, 7, Health-ClosedPRs0009.csv
89, 6764, 18, 1, 23, 0, 19, 2, 8 a, 4, 6 a, 4, 5 a, 4, 4 a, 3, 2 a, 2, 1 a, 0, 1 a, 0, 5 a, 3, 3 a, 3, 2 a, 2, 2 a, 2, 1 a, 1, 1 a, 0, 1 a, 0, 8 a, 5, 4 a, 2, 2 a, 2, 3 a, 2, 1 a, 1, 1 a, 1, 1 a, 0, 5 a, 3, 2 a, 2, 2 a, 2, 2 a, 2, 1 a, 1, 1 a, 1, 1 a, 0, 5 a, 4, 4 a, 3, 3 a, 2, 2 a, 2, 1 a, 2, 1 a, 1, 0 a, 0, 6 a, 4, 3 a, 2, 3 a, 2, 2 a, 2, 1 a, 0, 1 a, 0, 1 a, 0, 6 a, 4, 5 a, 4, 3 a, 2, 3 a, 2, 3 a, 2, 2 a, 2, 2 a, 2, 2 a, 1, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 1 a, 0, 23 b, 19, dconvert.csv
96, 86058, 11, 2, 58, 0, 17, 3, 15 b, 15, 9 b, 10, 6 a, 9, 3 a, 3, 1 a, 2, 1 a, 1, 0 a, 0, 12 b, 15, 6 a, 9, 3 a, 4, 2 a, 2, 1 a, 1, 1 a, 1, 0 a, 0, 15 b, 16, 8 a, 9, 3 a, 2, 3 a, 4, 1 a, 1, 0 a, 0, 0 a, 0, 12 b, 15, 5 a, 9, 5 a, 8, 4 a, 8, 2 a, 2, 1 a, 1, 1 a, 1, 35 d, 8, 29 c, 9, 26 c, 8, 22 c, 7, 17 b, 8, 14 b, 7, 10 b, 8, 34 d, 10, 29 c, 8, 24 c, 6, 24 c, 7, 21 b, 3, 20 b, 3, 17 b, 6, 39 d, 9, 39 d, 8, 33 d, 8, 32 d, 10, 30 c, 8, 30 c, 9, 28 c, 7, 28 c, 7, 24 c, 6, 23 c, 4, 19 b, 6, 19 b, 6, 18 b, 5, 19 b, 3, 58 e, 17, SS-X.csv
82, 20000, 9, 3, 46, 9, 9, 16, 34 d, 5, 31 c, 6, 29 c, 4, 28 c, 4, 26 c, 3, 23 b, 3, 20 b, 4, 36 d, 5, 31 c, 4, 30 c, 4, 29 c, 3, 26 c, 4, 24 b, 4, 21 b, 3, 34 d, 4, 33 d, 4, 29 c, 5, 27 c, 3, 25 b, 4, 24 b, 4, 21 b, 4, 36 d, 5, 33 d, 5, 32 c, 4, 30 c, 4, 26 c, 4, 25 b, 4, 22 b, 3, 36 d, 4, 30 c, 6, 26 c, 7, 25 b, 7, 22 b, 5, 19 b, 4, 14 a, 5, 35 d, 8, 31 c, 5, 28 c, 4, 28 c, 4, 22 b, 5, 20 b, 4, 17 a, 4, 35 d, 5, 34 d, 8, 31 c, 4, 30 c, 5, 31 c, 3, 30 c, 7, 28 c, 4, 29 c, 3, 26 c, 3, 26 c, 4, 21 b, 4, 23 b, 3, 22 b, 3, 21 b, 3, 46 e, 9, pom3c.csv
70, 4653, 38, 1, 46, 0, 18, 14, 26 b, 7, 23 b, 6, 22 b, 5, 19 a, 4, 17 a, 3, 15 a, 2, 14 a, 2, 28 b, 9, 21 b, 5, 20 a, 5, 19 a, 5, 16 a, 3, 14 a, 3, 12 a, 2, 32 c, 11, 22 b, 7, 21 b, 7, 19 a, 5, 15 a, 4, 15 a, 3, 12 a, 3, 28 b, 9, 24 b, 9, 23 b, 9, 21 b, 7, 19 a, 6, 16 a, 6, 14 a, 4, 26 b, 9, 17 a, 7, 15 a, 7, 14 a, 7, 11 a, 6, 9 a, 7, 7 a, 6, 27 b, 8, 21 b, 7, 13 a, 5, 15 a, 6, 9 a, 5, 7 a, 4, 3 a, 3, 25 b, 10, 22 b, 9, 19 a, 4, 20 a, 6, 17 a, 3, 16 a, 6, 16 a, 5, 15 a, 5, 12 a, 3, 14 a, 4, 9 a, 3, 11 a, 4, 8 a, 3, 11 a, 2, 46 d, 18, SQL_AllMeasurements.csv
