D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-12,DEHB-12_sd,DEHB-18,DEHB-18_sd,DEHB-24,DEHB-24_sd,DEHB-50,DEHB-50_sd,DEHB-100,DEHB-100_sd,DEHB-200,DEHB-200_sd,NSGAIII-6,NSGAIII-6_sd,NSGAIII-12,NSGAIII-12_sd,NSGAIII-18,NSGAIII-18_sd,NSGAIII-24,NSGAIII-24_sd,NSGAIII-50,NSGAIII-50_sd,NSGAIII-100,NSGAIII-100_sd,NSGAIII-200,NSGAIII-200_sd,SMAC-6,SMAC-6_sd,SMAC-12,SMAC-12_sd,SMAC-18,SMAC-18_sd,SMAC-24,SMAC-24_sd,SMAC-50,SMAC-50_sd,SMAC-100,SMAC-100_sd,SMAC-200,SMAC-200_sd,TPE-6,TPE-6_sd,TPE-12,TPE-12_sd,TPE-18,TPE-18_sd,TPE-24,TPE-24_sd,TPE-50,TPE-50_sd,TPE-100,TPE-100_sd,TPE-200,TPE-200_sd,ACT-6,ACT-6_sd,ACT-12,ACT-12_sd,ACT-18,ACT-18_sd,ACT-24,ACT-24_sd,ACT-50,ACT-50_sd,ACT-100,ACT-100_sd,ACT-200,ACT-200_sd,EZR-6,EZR-6_sd,EZR-12,EZR-12_sd,EZR-18,EZR-18_sd,EZR-24,EZR-24_sd,EZR-50,EZR-50_sd,EZR-100,EZR-100_sd,EZR-200,EZR-200_sd,KM++-6,KM++-6_sd,RAND-6,RAND-6_sd,KM++-12,KM++-12_sd,RAND-12,RAND-12_sd,KM++-18,KM++-18_sd,RAND-18,RAND-18_sd,KM++-24,KM++-24_sd,RAND-24,RAND-24_sd,KM++-50,KM++-50_sd,RAND-50,RAND-50_sd,KM++-100,KM++-100_sd,RAND-100,RAND-100_sd,KM++-200,KM++-200_sd,RAND-200,RAND-200_sd,Before,Before_sd, File
82, 65536, 16, 2, 52, 9, 11, 17, 36 c, 7, 34 c, 6, 32 c, 5, 30 c, 5, 25 b, 6, 21 b, 5, 16 a, 5, 40 d, 5, 36 c, 4, 35 c, 5, 34 c, 5, 31 c, 5, 29 b, 4, 23 b, 4, 36 c, 6, 33 c, 7, 31 c, 5, 28 b, 5, 26 b, 5, 26 b, 5, 26 b, 5, 40 d, 5, 36 c, 4, 35 c, 5, 35 c, 5, 31 c, 4, 28 b, 4, 27 b, 5, 41 d, 5, 37 c, 5, 32 c, 6, 31 c, 5, 25 b, 5, 22 b, 5, 18 a, 5, 40 d, 5, 37 c, 5, 32 c, 5, 30 c, 6, 28 b, 4, 25 b, 4, 23 b, 3, 39 d, 4, 38 d, 5, 36 c, 5, 33 c, 5, 33 c, 5, 32 c, 5, 32 c, 6, 31 c, 7, 27 b, 5, 29 b, 6, 27 b, 5, 24 b, 5, 23 b, 4, 23 b, 4, 52 e, 11, SS-W.csv
82, 86058, 12, 1, 20, 0, 14, 4, 9 b, 5, 7 a, 5, 6 a, 3, 5 a, 3, 3 a, 2, 2 a, 1, 1 a, 1, 7 a, 3, 6 a, 2, 5 a, 2, 4 a, 2, 3 a, 2, 2 a, 2, 1 a, 1, 9 b, 5, 4 a, 2, 4 a, 3, 4 a, 2, 3 a, 2, 1 a, 1, 0 a, 0, 7 a, 3, 5 a, 2, 4 a, 2, 4 a, 2, 2 a, 2, 1 a, 1, 1 a, 1, 6 a, 3, 5 a, 2, 4 a, 2, 3 a, 2, 2 a, 1, 2 a, 1, 1 a, 1, 8 a, 4, 5 a, 2, 4 a, 2, 4 a, 2, 2 a, 1, 2 a, 1, 1 a, 1, 8 a, 3, 7 a, 4, 5 a, 3, 4 a, 1, 4 a, 2, 4 a, 2, 3 a, 1, 4 a, 3, 3 a, 1, 2 a, 1, 2 a, 1, 2 a, 1, 1 a, 1, 1 a, 1, 20 c, 14, exastencils.csv
78, 20000, 9, 3, 34, 1, 11, 8, 19 c, 6, 18 b, 6, 16 b, 5, 13 b, 4, 10 a, 3, 8 a, 3, 6 a, 2, 18 b, 7, 14 b, 4, 13 b, 4, 12 b, 3, 9 a, 2, 8 a, 2, 6 a, 2, 19 c, 8, 16 b, 7, 15 b, 7, 11 a, 6, 8 a, 2, 7 a, 2, 6 a, 2, 18 b, 7, 14 b, 5, 13 b, 4, 11 a, 3, 10 a, 2, 9 a, 2, 7 a, 1, 21 c, 8, 16 b, 7, 13 b, 5, 10 a, 5, 9 a, 4, 5 a, 2, 5 a, 1, 20 c, 7, 13 b, 4, 13 b, 5, 11 a, 5, 8 a, 3, 6 a, 2, 4 a, 1, 19 c, 7, 20 c, 7, 14 b, 6, 16 b, 6, 15 b, 5, 15 b, 4, 13 b, 4, 13 b, 5, 11 a, 3, 11 a, 3, 7 a, 2, 8 a, 3, 6 a, 2, 6 a, 2, 34 d, 11, pom3b.csv
80, 20000, 9, 3, 34, 1, 11, 8, 18 c, 7, 18 c, 7, 16 b, 6, 15 b, 5, 11 b, 4, 9 a, 3, 7 a, 2, 19 c, 8, 15 b, 6, 14 b, 5, 13 b, 4, 9 a, 3, 7 a, 2, 6 a, 2, 20 c, 9, 14 b, 6, 13 b, 4, 14 b, 6, 9 a, 3, 7 a, 3, 6 a, 1, 19 c, 8, 15 b, 6, 12 b, 4, 12 b, 4, 9 a, 3, 7 a, 2, 6 a, 2, 19 c, 7, 13 b, 5, 10 a, 5, 8 a, 4, 6 a, 3, 5 a, 2, 4 a, 2, 21 c, 7, 13 b, 4, 10 a, 4, 10 a, 5, 8 a, 3, 6 a, 2, 4 a, 1, 19 c, 6, 20 c, 6, 16 b, 5, 17 b, 6, 14 b, 5, 13 b, 4, 11 a, 4, 12 b, 5, 10 a, 4, 10 a, 3, 8 a, 3, 8 a, 2, 7 a, 1, 6 a, 2, 34 d, 11, pom3a.csv
95, 68640, 14, 1, 13, 0, 18, 1, 2 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 1 a, 1, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 a, 2, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 0 a, 1, 0 a, 0, 0 a, 0, 1 a, 1, 1 a, 0, 1 a, 0, 1 a, 1, 1 a, 1, 0 a, 1, 0 a, 0, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 1, 1 a, 0, 1 a, 1, 0 a, 0, 1 a, 1, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 13 b, 18, 7z.csv
72, 10127, 19, 4, 77, 25, 13, 39, 66 e, 18, 46 b, 9, 58 c, 16, 61 c, 16, 67 e, 17, 77 f, 12, 41 a, 10, 61 d, 12, 54 c, 10, 42 a, 4, 41 a, 3, 39 a, 1, 38 a, 2, 36 a, 1, 62 d, 14, 57 c, 12, 57 c, 12, 48 b, 11, 55 c, 12, 43 a, 7, 38 a, 2, 54 c, 11, 45 b, 9, 40 a, 3, 40 a, 3, 40 a, 2, 37 a, 5, 38 a, 1, 55 c, 13, 46 b, 9, 43 a, 6, 41 a, 4, 39 a, 5, 36 a, 5, 33 a, 5, 61 d, 14, 54 c, 11, 45 b, 10, 43 a, 6, 40 a, 4, 38 a, 4, 37 a, 3, 57 c, 9, 55 c, 12, 49 b, 10, 53 c, 10, 49 b, 9, 50 b, 8, 46 b, 6, 47 b, 8, 44 a, 4, 43 a, 3, 40 a, 2, 41 a, 2, 38 a, 5, 38 a, 4, 77 f, 13, BankChurners.csv
62, 53662, 17, 1, 34, 0, 8, 13, 22 c, 5, 21 c, 5, 19 b, 4, 18 b, 4, 14 a, 3, 13 a, 2, 11 a, 3, 20 c, 6, 18 b, 5, 16 b, 2, 16 b, 2, 14 a, 2, 14 a, 1, 13 a, 1, 21 c, 6, 18 b, 4, 16 b, 4, 14 a, 3, 14 a, 4, 14 a, 3, 12 a, 2, 20 c, 6, 17 b, 4, 16 b, 3, 16 b, 3, 14 a, 2, 13 a, 2, 12 a, 2, 26 d, 5, 22 c, 5, 22 c, 4, 21 c, 4, 21 c, 4, 21 c, 4, 21 c, 4, 27 d, 4, 21 c, 5, 18 b, 6, 18 b, 5, 14 a, 4, 12 a, 3, 11 a, 3, 25 d, 3, 25 d, 3, 21 c, 5, 23 c, 4, 20 b, 5, 22 c, 5, 16 b, 3, 19 b, 5, 14 a, 2, 18 b, 5, 12 a, 3, 15 a, 3, 10 a, 4, 13 a, 3, 34 e, 8, x264.csv
58, 53662, 17, 2, 25, 0, 6, 11, 18 c, 5, 16 b, 3, 14 b, 3, 13 b, 2, 12 a, 1, 11 a, 1, 10 a, 1, 15 b, 4, 12 a, 2, 12 a, 2, 12 a, 2, 11 a, 2, 10 a, 2, 9 a, 3, 17 c, 5, 13 b, 3, 12 a, 1, 12 a, 2, 11 a, 2, 10 a, 2, 9 a, 1, 15 b, 4, 13 b, 2, 12 a, 2, 12 a, 2, 11 a, 1, 11 a, 1, 10 a, 1, 20 c, 5, 17 c, 4, 16 b, 4, 16 b, 4, 15 b, 4, 15 b, 4, 15 b, 4, 18 c, 3, 16 b, 5, 18 c, 3, 16 b, 4, 12 a, 4, 10 a, 2, 9 a, 4, 19 c, 2, 19 c, 1, 16 b, 3, 17 c, 3, 15 b, 4, 17 c, 3, 13 b, 3, 14 b, 4, 11 a, 2, 13 b, 3, 9 a, 3, 11 a, 2, 8 a, 3, 10 a, 2, 25 d, 6, SS-N.csv
80, 10000, 24, 4, 37, 7, 12, 13, 23 b, 5, 21 b, 5, 19 b, 5, 18 b, 4, 16 a, 3, 14 a, 3, 11 a, 2, 23 b, 4, 21 b, 4, 19 b, 4, 18 b, 4, 16 a, 3, 15 a, 2, 12 a, 2, 24 b, 5, 21 b, 4, 18 b, 4, 18 b, 3, 15 a, 3, 14 a, 3, 12 a, 3, 23 b, 4, 21 b, 4, 19 b, 4, 18 b, 4, 15 a, 3, 14 a, 3, 12 a, 2, 26 c, 9, 19 b, 6, 15 a, 3, 15 a, 3, 11 a, 2, 9 a, 2, 8 a, 1, 26 c, 9, 19 b, 6, 16 a, 5, 17 a, 4, 12 a, 3, 10 a, 2, 8 a, 1, 23 b, 6, 22 b, 5, 18 b, 6, 20 b, 5, 19 b, 5, 18 b, 4, 16 a, 2, 18 b, 4, 15 a, 2, 14 a, 3, 14 a, 2, 14 a, 3, 12 a, 2, 11 a, 2, 37 d, 12, xomo_osp2.csv
81, 10000, 24, 4, 24, 1, 9, 5, 12 b, 4, 11 b, 3, 10 b, 3, 9 b, 2, 7 a, 3, 5 a, 2, 4 a, 1, 14 c, 4, 11 b, 3, 9 b, 2, 9 b, 2, 7 a, 2, 6 a, 2, 4 a, 2, 14 c, 4, 12 b, 4, 9 b, 3, 7 a, 3, 7 a, 2, 6 a, 2, 4 a, 1, 14 c, 4, 11 b, 3, 10 b, 3, 9 b, 3, 7 a, 2, 5 a, 2, 4 a, 1, 14 c, 6, 10 b, 5, 8 a, 4, 7 a, 4, 4 a, 2, 2 a, 1, 2 a, 1, 14 c, 4, 8 a, 3, 8 a, 4, 7 a, 3, 3 a, 1, 3 a, 1, 2 a, 1, 15 c, 6, 12 b, 5, 11 b, 5, 9 b, 4, 9 b, 4, 10 b, 4, 8 a, 4, 9 b, 4, 7 a, 2, 7 a, 3, 5 a, 2, 5 a, 2, 4 a, 2, 4 a, 1, 24 d, 9, xomo_osp.csv
81, 10000, 24, 4, 26, 0, 11, 5, 13 b, 6, 12 b, 6, 10 b, 5, 9 b, 5, 7 a, 4, 5 a, 4, 3 a, 1, 14 b, 4, 11 b, 4, 9 b, 3, 9 b, 3, 7 a, 2, 5 a, 2, 3 a, 1, 15 c, 5, 11 b, 4, 9 b, 3, 9 b, 3, 5 a, 3, 4 a, 2, 3 a, 2, 14 b, 4, 11 b, 4, 9 b, 4, 9 b, 4, 7 a, 3, 4 a, 1, 4 a, 1, 13 b, 4, 8 a, 4, 6 a, 3, 6 a, 3, 4 a, 2, 2 a, 1, 2 a, 1, 13 b, 6, 8 a, 4, 7 a, 4, 5 a, 3, 3 a, 1, 2 a, 1, 1 a, 1, 14 b, 6, 13 b, 5, 11 b, 3, 9 b, 4, 7 a, 5, 9 b, 4, 7 a, 3, 7 a, 3, 6 a, 2, 6 a, 2, 4 a, 2, 5 a, 2, 3 a, 1, 3 a, 1, 26 d, 11, xomo_flight.csv
92, 21759, 35, 3, 93, 34, 10, 39, 82 h, 9, 84 h, 9, 75 g, 12, 80 g, 11, 68 e, 8, 65 e, 5, 67 e, 10, 77 g, 10, 75 f, 8, 70 f, 9, 69 f, 9, 64 e, 6, 58 d, 6, 54 c, 8, 77 g, 12, 80 g, 11, 81 g, 10, 77 g, 9, 67 e, 11, 60 d, 9, 57 d, 7, 78 g, 10, 77 g, 11, 69 f, 13, 66 e, 13, 57 d, 8, 53 c, 8, 48 c, 6, 78 g, 13, 75 g, 15, 72 f, 14, 70 f, 14, 66 e, 13, 64 e, 14, 62 e, 13, 75 g, 14, 63 e, 15, 57 d, 11, 59 d, 14, 44 b, 6, 40 a, 4, 37 a, 3, 78 g, 12, 71 f, 18, 74 f, 11, 67 e, 13, 63 e, 13, 63 e, 12, 64 e, 11, 70 f, 12, 60 d, 8, 53 c, 9, 53 c, 6, 52 c, 5, 51 c, 8, 48 c, 6, 93 i, 10, Data_COVID19_Indonesia.csv
79, 10000, 88, 3, 52, 34, 7, 38, 44 b, 3, 44 b, 3, 43 b, 3, 42 b, 3, 40 a, 2, 37 a, 2, 35 a, 1, 45 c, 4, 41 b, 3, 41 b, 3, 40 a, 3, 39 a, 2, 38 a, 1, 36 a, 1, 43 b, 3, 43 b, 2, 41 b, 3, 38 a, 3, 37 a, 2, 37 a, 2, 37 a, 2, 45 c, 4, 41 b, 3, 40 a, 3, 40 a, 3, 38 a, 3, 37 a, 2, 36 a, 1, 44 b, 4, 42 b, 3, 40 a, 2, 39 a, 2, 37 a, 1, 35 a, 1, 35 a, 1, 44 b, 4, 43 b, 3, 40 b, 3, 40 a, 2, 39 a, 1, 38 a, 1, 37 a, 1, 42 b, 3, 44 b, 4, 43 b, 3, 43 b, 3, 41 b, 3, 40 a, 3, 40 b, 2, 41 b, 2, 39 a, 2, 39 a, 2, 38 a, 1, 38 a, 2, 37 a, 2, 37 a, 1, 52 d, 7, billing10k.csv
93, 166975, 35, 1, 2, 0, 3, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 0 a, 0, 2 b, 3, javagc.csv
84, 10000, 124, 3, 52, 28, 8, 32, 42 c, 4, 41 c, 4, 37 b, 4, 36 b, 3, 33 a, 2, 30 a, 2, 29 a, 1, 42 c, 5, 38 b, 3, 37 b, 3, 36 b, 2, 34 a, 3, 33 a, 2, 29 a, 1, 41 c, 4, 39 b, 4, 37 b, 4, 35 b, 3, 32 a, 2, 31 a, 3, 31 a, 3, 42 c, 5, 37 b, 3, 36 b, 3, 35 b, 3, 33 a, 3, 31 a, 2, 31 a, 2, 40 c, 6, 36 b, 4, 34 a, 3, 33 a, 3, 30 a, 2, 29 a, 1, 28 a, 1, 43 c, 5, 40 c, 4, 37 b, 3, 36 b, 4, 33 a, 3, 32 a, 3, 31 a, 2, 44 c, 6, 40 c, 5, 39 b, 3, 40 c, 5, 37 b, 3, 38 b, 4, 36 b, 3, 36 b, 4, 35 b, 3, 36 b, 3, 34 a, 2, 33 a, 2, 32 a, 3, 32 a, 2, 52 d, 8, Scrum10k.csv
86, 10000, 128, 3, 53, 25, 9, 29, 41 c, 7, 39 c, 6, 37 b, 6, 36 b, 5, 33 b, 5, 30 a, 3, 29 a, 2, 41 c, 4, 40 c, 4, 38 b, 4, 37 b, 4, 33 b, 3, 32 b, 2, 31 a, 3, 41 c, 5, 38 b, 5, 36 b, 4, 35 b, 4, 32 a, 3, 31 a, 2, 30 a, 3, 41 c, 4, 39 c, 4, 38 b, 4, 37 b, 4, 35 b, 3, 33 b, 4, 33 b, 3, 41 c, 6, 34 b, 5, 31 a, 5, 30 a, 4, 27 a, 2, 26 a, 1, 25 a, 0, 41 c, 6, 36 b, 3, 35 b, 5, 34 b, 3, 30 a, 3, 29 a, 2, 28 a, 3, 40 c, 4, 42 c, 6, 37 b, 5, 37 b, 6, 36 b, 4, 35 b, 4, 36 b, 3, 35 b, 4, 33 b, 5, 33 b, 4, 29 a, 2, 31 a, 3, 29 a, 3, 29 a, 3, 53 d, 9, FFM-125-25-0.50-SAT-1.csv
81, 100000, 124, 3, 53, 31, 7, 35, 45 c, 3, 44 c, 3, 41 b, 2, 40 b, 3, 37 b, 3, 35 a, 2, 33 a, 1, 44 c, 4, 42 b, 4, 41 b, 3, 39 b, 3, 38 b, 3, 37 a, 3, 34 a, 2, 44 c, 4, 42 b, 4, 40 b, 4, 40 b, 3, 36 a, 2, 34 a, 2, 33 a, 2, 44 c, 4, 40 b, 3, 39 b, 3, 38 b, 3, 37 a, 2, 35 a, 2, 34 a, 2, 45 c, 3, 41 b, 4, 39 b, 3, 39 b, 3, 35 a, 2, 34 a, 2, 33 a, 1, 45 c, 4, 43 c, 4, 40 b, 3, 39 b, 3, 38 b, 2, 36 a, 2, 35 a, 2, 43 c, 5, 45 c, 3, 43 c, 3, 42 c, 4, 41 b, 3, 41 b, 3, 40 b, 2, 40 b, 3, 39 b, 2, 39 b, 3, 38 b, 2, 37 a, 2, 36 a, 2, 36 a, 2, 53 d, 7, Scrum100k.csv
85, 10000, 256, 3, 51, 34, 7, 37, 43 c, 3, 42 b, 4, 41 b, 3, 40 b, 3, 38 a, 2, 36 a, 1, 35 a, 1, 43 c, 4, 42 b, 3, 41 b, 3, 40 b, 3, 39 a, 2, 37 a, 2, 35 a, 1, 44 c, 4, 42 b, 3, 40 b, 3, 40 b, 2, 37 a, 2, 37 a, 2, 36 a, 2, 43 c, 4, 41 b, 3, 40 b, 3, 40 b, 3, 38 a, 3, 37 a, 2, 37 a, 2, 45 c, 5, 40 b, 3, 38 a, 3, 37 a, 2, 35 a, 1, 34 a, 1, 34 a, 1, 44 c, 4, 42 b, 4, 41 b, 3, 39 a, 2, 37 a, 2, 37 a, 1, 36 a, 1, 43 c, 3, 42 b, 3, 42 b, 2, 42 b, 3, 40 b, 3, 42 b, 3, 39 b, 2, 40 b, 3, 39 a, 2, 38 a, 2, 38 a, 2, 37 a, 1, 36 a, 1, 36 a, 1, 51 d, 7, FFM-250-50-0.50-SAT-1.csv
83, 10000, 510, 3, 52, 28, 8, 32, 39 b, 4, 37 b, 4, 35 b, 4, 34 a, 4, 32 a, 2, 31 a, 2, 28 a, 1, 43 c, 4, 40 b, 4, 39 b, 4, 37 b, 4, 34 a, 3, 33 a, 2, 30 a, 1, 40 b, 6, 36 b, 4, 35 b, 3, 35 b, 5, 31 a, 1, 31 a, 2, 30 a, 2, 43 c, 4, 39 b, 4, 38 b, 4, 37 b, 3, 34 a, 3, 32 a, 3, 31 a, 3, 43 c, 7, 36 b, 4, 35 a, 4, 33 a, 4, 30 a, 1, 29 a, 1, 29 a, 2, 42 c, 6, 38 b, 4, 38 b, 3, 37 b, 3, 34 a, 3, 31 a, 2, 31 a, 1, 42 c, 5, 44 c, 4, 39 b, 5, 39 b, 3, 36 b, 3, 38 b, 3, 36 b, 4, 37 b, 3, 35 a, 2, 36 b, 2, 34 a, 3, 33 a, 3, 32 a, 2, 33 a, 2, 52 d, 8, FFM-500-100-0.50-SAT-1.csv
85, 10000, 511, 3, 53, 28, 9, 32, 41 c, 6, 39 b, 6, 36 b, 5, 34 a, 4, 32 a, 3, 30 a, 1, 29 a, 1, 40 b, 5, 37 b, 4, 36 b, 3, 35 b, 3, 34 a, 2, 33 a, 2, 30 a, 1, 42 c, 5, 39 b, 3, 35 b, 4, 33 a, 2, 31 a, 2, 32 a, 2, 31 a, 2, 40 b, 5, 38 b, 4, 36 b, 5, 36 b, 4, 33 a, 3, 31 a, 2, 30 a, 2, 43 c, 5, 36 b, 4, 34 a, 3, 33 a, 2, 30 a, 2, 29 a, 1, 28 a, 0, 44 c, 6, 37 b, 4, 38 b, 4, 36 b, 3, 33 a, 3, 33 a, 2, 31 a, 2, 42 c, 4, 42 c, 5, 39 b, 4, 39 b, 5, 38 b, 4, 38 b, 3, 36 b, 3, 37 b, 3, 35 a, 2, 33 a, 2, 33 a, 2, 33 a, 2, 31 a, 2, 32 a, 2, 53 d, 9, FM-500-100-1.00-SAT-1.csv
85, 10000, 511, 3, 54, 27, 9, 31, 41 c, 5, 40 b, 5, 38 b, 5, 37 b, 5, 32 a, 4, 29 a, 2, 27 a, 0, 42 c, 5, 38 b, 4, 37 b, 3, 36 b, 3, 34 b, 2, 32 a, 2, 29 a, 2, 43 c, 4, 38 b, 4, 36 b, 5, 33 a, 3, 31 a, 3, 32 a, 3, 31 a, 3, 42 c, 5, 38 b, 5, 36 b, 5, 36 b, 4, 33 a, 4, 31 a, 3, 30 a, 2, 41 c, 6, 37 b, 6, 34 b, 4, 33 a, 3, 30 a, 2, 28 a, 1, 27 a, 1, 44 c, 6, 37 b, 4, 37 b, 6, 37 b, 3, 34 a, 2, 32 a, 3, 32 a, 2, 43 c, 6, 43 c, 4, 39 b, 4, 41 c, 5, 39 b, 3, 38 b, 4, 38 b, 3, 37 b, 5, 36 b, 3, 37 b, 3, 34 a, 3, 34 b, 3, 32 a, 2, 32 a, 3, 54 d, 9, FM-500-100-0.75-SAT-1.csv
81, 10000, 517, 3, 52, 33, 7, 36, 45 c, 3, 44 c, 3, 42 b, 3, 40 b, 3, 38 a, 2, 36 a, 2, 35 a, 1, 46 c, 3, 44 c, 3, 43 b, 3, 42 b, 2, 40 b, 3, 39 a, 2, 37 a, 2, 46 c, 3, 42 b, 3, 42 b, 3, 40 b, 3, 37 a, 2, 36 a, 3, 35 a, 2, 46 c, 3, 44 c, 2, 42 b, 3, 41 b, 3, 38 a, 3, 37 a, 3, 36 a, 3, 45 c, 5, 39 b, 3, 38 a, 3, 37 a, 2, 35 a, 2, 34 a, 1, 34 a, 1, 45 c, 4, 42 b, 3, 39 b, 2, 39 a, 3, 37 a, 2, 36 a, 2, 36 a, 1, 43 b, 3, 43 b, 4, 41 b, 2, 43 b, 3, 40 b, 3, 40 b, 3, 40 b, 2, 40 b, 2, 38 a, 2, 37 a, 2, 37 a, 2, 37 a, 2, 36 a, 2, 36 a, 1, 52 d, 7, FM-500-100-0.25-SAT-1.csv
82, 10000, 513, 3, 53, 26, 8, 31, 44 c, 5, 42 c, 6, 39 b, 5, 37 b, 5, 33 a, 4, 30 a, 3, 28 a, 1, 43 c, 6, 40 b, 5, 40 b, 5, 39 b, 4, 35 b, 4, 33 a, 4, 30 a, 2, 42 c, 4, 41 c, 4, 38 b, 4, 36 b, 4, 31 a, 4, 30 a, 3, 30 a, 3, 43 c, 6, 39 b, 4, 37 b, 4, 36 b, 4, 34 b, 4, 32 a, 4, 30 a, 3, 44 c, 7, 36 b, 5, 33 a, 4, 33 a, 4, 29 a, 2, 27 a, 2, 27 a, 2, 43 c, 6, 39 b, 4, 36 b, 3, 35 b, 3, 32 a, 3, 31 a, 2, 30 a, 3, 44 c, 5, 42 c, 6, 41 c, 4, 39 b, 5, 39 b, 4, 36 b, 4, 37 b, 4, 37 b, 4, 35 b, 3, 35 b, 2, 33 a, 3, 32 a, 2, 30 a, 3, 31 a, 2, 53 d, 8, FM-500-100-0.50-SAT-1.csv
,,,,,,,,24,0,25,0,32,0,40,0,59,0,65,0,69,0,30,0,44,0,53,0,62,0,71,0,82,0,89,0,28,0,39,0,50,0,64,0,80,0,86,0,91,0,27,0,41,0,51,0,56,0,80,0,84,0,84,0,32,0,54,0,70,0,76,0,83,0,87,0,95,0,34,0,48,0,57,0,62,0,83,0,91,0,95,0,36,0,35,0,43,0,43,0,55,0,49,0,59,0,58,0,78,0,76,0,87,0,86,0,92,0,92,0,0,0,
